"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"The Pittsburgh Courier Distributor's Weekly Report."
"The Pittsburgh Courier Distributor's Weekly Report on December 9, 1961."
"A letter from John W. Johnson to Branch Office Advertising Personnel to Branch Office Advertising Personnel sent on December 12, 1961."
"The Pittsburgh Courier Distributor's Weekly Report on December 16, 1961."
"A letter from Conyers to the Pittsburgh Couriers sent on December 26, 1961."
"The Pittsburgh Courier Distributor's Weekly Report on December 30, 1961."
"A letter from Miss M. K. Davis to Mr. McCray sent on December 1961."
"A wedding announcement of Dorothy Clifton to James Arthur Williams."
"A letter to Mr. Nunn."
"The account ledger of Reverand B. R. Nood."
"The account ledger of Mr. Earnie Rowla."
"The account ledger of Mr. James Brunson."
"The account ledger of Willie C. Coldwell"
"The account ledger of S. Brown & Son."
"The account ledger of James Lewis."
"The account ledger of Robert Brown."
"The account ledger of Mrs. Helen J. Jenkins."
"The account ledger of Theodore English."
"The account of Mr. Donald Lee Nichols."
"The account ledger of Miss Jacqueline Knox."
"The account ledger of E. F. Myers."
"The account ledger of Roosevelt Myers."
"The account of James Green, Jr."
"The accountment ledger of David Scott."
"The accountment ledger of J. B. Stanley."
"The account ledger of Thomas Colleton, Jr."
"South Carolina Accounts Charged All to Bad Debt on December 31, 1961."
"The account ledger of Fred Donald McNeil."
"The account ledger of Hayward's Garage."
"The account ledger of Isaih Goodwin."
"North Carolina Accounts Charged All to Bad Debt on December 31, 1961."
"The account ledger of Alchester Stanley."
"The account ledger of John H. McCray."
"The account ledger of John McCray."
"A letter to Mr. John McCray."
"A check to the Pittsburgh Courier made on November 18, 1961."
"No. 297 made on approximately December 24, 1889 with Intendant and the 4 Wonders written by Sampson T. Spencer."
"A list of groups and news in different towns made on December 24, 1889."
"Notes about interest proposals made on August 5, 1963,"
"A list of names and jobs made on June 30, 1962."
"A document about Sections 21 - 62 of the S. C. Code, Act 927, and Law 1 - 8, 1961, written on November 21, 1961."
"A document with notes written by Theo A. Carrere, Sept. 7, 1955."
"A document detailing how Richland County Cancer Crusade workers received materials at Benedict College from Isaac H. McCraw, Chairmen and Dr. C. W. Madden."
"A document containing excerpts from telegrams and letters about the Defender."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps ordered on December 12, 1963 for the Dixie 5-10-25 cent store."
"The South Atlantic Life Insurance Company check sent by the Lighthouse with an amount of $8.40."
"An advertising insertion order to the Lighthouse from Mark Paul ordered on December 13, 1963 for the Greenview Lunch."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps ordered December 13, 1963 for the Gallaway Music Company."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps from R. S. Dunn ordered on December 13, 1963 for Dunn's Open Air Market."
"A letter from Dunn's Open Air Market appreciating their business sent on December 13, 1963."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps ordered on December 13, 1963 for the College Drill."
"Seasons greetings College Drill from Oscar Robinson and Robert Carter"
"An advertising insertion order to Miss Vivian Hipps from James W. Dugger ordered on December 17, 1963 for Dr. James W. Dugger."
"An advertising insertion order to the Lighthouse from B. M. Schumpert ordered on December 17, 1963 for the Schumpert Lumber Company."
"An advertisement insertion order to the Lighthouse and Miss Vivian Hipps ordered on December 13, 1963 for the Toast of the Town."
"An advertising insertion order to Miss Vivian Hipps from Mr. Joseph Cain ordered on December 17, 1963 for Rudger and Cleaners."
"An advertising insertion to order to Miss Vivian Hipps ordered on December 17, 1963 for Hamilton's Jewelers."
"A letter from Mrs. Alma H. Wade to Mr. John H. McCray sent on December 5, 1963 about carrying an ad in the first edition of the Lighthouse."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps ordered on December 6, 1963 for Counts Drug Store."
"An advertising insertion order to the Lighthouse and Miss Vivian Hipps from Soloman Seabook ordered December 6, 1963 for Ace Dry Cleaners."
"A document listing the name, address, and some of the services for Ace Dry Cleaners."
"A letter from A. S. Eauward to Mr. John H. McCray about Mr. A. T. Shepard and McCray's proposal about regular advertisements for Southern Bell in The Lighthouse."
"A Crowson-Stone Printing Company order form for the Lighthouse made on December 11, 1963."
"A Crowson-Stone Printing Company delivery receipt to The Lighthouse for December 11, 1963."
"A letter from J. G. Abraham to Mr. John H. McCray sent on December 12, 1963 about a Yuletide message from Claflin College."
"A letter from John F. Potts, President, to John H. McCray, Executive Director, sent on December 13, 1963 about requesting Voorhees to include a Christmas message in the Lighthouse."
"A letter from John F. Potts, President, showing the Christmas message from Voorhees College, sent on December 13, 1963."
"A letter from James H. Goudlock to Mr. John H. McCray sent on December 13, 1963 about the revival of the Lighthouse and a copy of an advertisement for Friendship Junior College to run."
"A telegram from John H. McCray to P. R. Jervay sent on December 17, 1963."
"A letter from P. R. Jervay, Publisher, to Mr. John McCray sent on December 24, 1963 about McCray's packet of materials for The Lighthouse being returned due to finances interferring with a working plan between McCray and the Carolinian plant."
"Several checks deposited with the State Bank and Trust Company by the Lighthouse Publishers on December 27, 1963."
"A letter from John H. McCray to Mr. Blalock sent in 1963 about applying for a position on the editorial staff and roving work in South Carolina about negro life, history and accomplishments."
"A letter to Mr. Blalock sent in 1963 about applying for employment on the editorial and reportorial staff of the State-Record Company if possible to remain in South Carolina."
"A letter from John H. McCray to Mr. J. M. Blalock, Chairman and Publisher, about applying for a position on the editorial staff of The State-Record Company."
"A document detailing the instructions for preparing and making releases"
"A document about Dr. Rutherford teaching in India."
"A letter to Mr. Jervay about mutual arrangement about having an edition of the Carolinian headquartered in Columbia."
"A letter from John H. McCray to P. R. Jervay about any future questions or the current edition sent on November 23, 1963."
"A letter to Mr. John H. McCray from Levi G. Byrd sent on November 11, 1963."
"A letter to Mr. Stanback from John H. McCray sent on November 11, 1963 about the first edition of The Lighthouse going into circulation November 20, 1963 with a November 23 dateline."
"A letter to Messrs. Hart and Thompson from John H. McCray sent on November 12, 1963 about how the first issue of The Lighthouse has been sold and is scheduled to go into circulation on November 21."
"A letter from B. T. Harvey, Commissioner, to Mr. J. H. McCray sent on November 13, 1963 about acknowledging the receipt of the letter of November 5 about the publication of The Lighthouse beginning November 20, 1963."
"A document listing the boys interested in selling The Lighthouse made by Hughes on November 13, 1963."
"A document listing the boys interested in selling The Lighthouse made by Miss Dwyer on November 13, 1963."
"A letter to Mr. Jervay sent on November 17, 1963 about the agreement where Mr. Jervay will only serve as printer and under terms agreed during the conference."
"A letter to Mr. John H. McCray from Arthur T. Ralph sent on November 19, 1963 about McCray being interest in becoming a member of Amalgated Publishers, Inc."
"A Newspaper Publisher's Sworn Statement, November 19, 1963."
"An application for membership with Amalgated Publishers Incorporated, November 19, 1963."
"A letter to Mr. John H. McCray sent on November 21, 1963 about how dispatches must arrive in a certain amount of time to be printed."
"The Carolinian Order Statement of The Lighthouse on November 21, 1963."
"A document detailing The Lighthouse heds, November 23, 1963."
"Ads accounts for the November 23, 1963 Edition."
"An account ad receipt for account number 3069 on November 29, 1963."
"A document detailing Chicago Daily Defender payment information."
"A letter from John H. McCray, Editor- Publisher,  to Mr. W. G. Edwards sent on November 30, 1963 about enclosing a copy of the first edition of The Lighthouse."
"A letter from John H. McCray to Mr. Blalock sent in 1963 about applying for a position on the editorial staff of The State-Record Company."
"A letter from P. L. Prattis to Mr. John McCray sent on April 4, 1962."
"A letter from J. W. Stuart to John sent on April 8, 1962."
"The account ledger of Reverand J. R. McTeer"
"A letter from John H. McCray to Orlie A. Phillips sent on April 10, 1962"
"A letter from O. A. Phillips to John McCray sent on April 11, 1962."
"A letter from John H. McCray to Mr. O. A. Phillips sent on April 11, 1962 about the omission of news."
"A letter from John H. McCray to Mr. O. A. Phillips sent on April 11, 1962 about Reverand J. C. McTeer."
"A letter from John H. McCray to Mr. O. A. Phillips sent on April 12, 1962 about Mr. Wille J. Carter and the delinquent payment."
"A letter from Orlie A. Phillips, Circulation Manager, to Mr. John McCray sent to April 24, 1962."
"A letter from Miss Esther E. Moore to Mr. John H. McCray sent on April 24, 1962."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for Mr. John McCray of April, 1762."
"A letter to Mr. McCray sent on May 1, 1962."
"A message from Mrs. Hattie Hill about how S. C. Hill sent on May 4, 1962."
"A letter from John H. McCray to Orlie A. Phillips sent on May 11, 1962."
"A letter from Esther M. Moore to Orlie A. Phillips sent on May 15, 1962 about information for McCray."
"A letter from Mrs. Richardson to Mr. McCray sent on May 31, 1962."
"A letter from A. H. Hill to Mr. McCray sent on June 4, 1962."
"A letter from Esther M. Moore to Mr. P. L. Prettia sent on June 5, 1962 about the account of Mr. John H. McCray."
"A letter to Mr. W. G. Nunn, Sr., sent on June 11, 1962."
"A letter from Mrs. Lucille Rechada sent on June 11, 1962."
"A letter from William G. Nunn, Sr. to Mr. John H. McCray sent on June 15, 1962 about the pot shots being taken at Dr. Martin Luther King."
"A letter from Mrs. O. C. D. McNeil to Mr. John McCray sent on June 16, 1962."
"A letter sent on June 17, 1962."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for Mr. John McCray for June 1962."
"A letter from Mrs. O. C. D. McNeil to Mr. John McCray sent on July 16, 1962."
"The first page of a letter from Mrs. O. C. D. McNeil to Mr. John H. McCray sent on July 31, 1962."
"The second page of a letter from Mrs. O. C. D. McNeil to Mr. John H. McCray sent on July 31, 1962."
"Personal data sent by John H. McCray on July 19, 1962."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for John H. McCray of July, 1962."
"A letter from Kenneth O. Wilson to the Lighthouse & Informer sent on August 23, 1962 about complimentary newspapers."
"An advertising rate card of the Palmetto Times for the negro market in Columbia, 1962."
"A Pittsburgh Courier advertising insertion order from Reverand Sister Graham made on September 5, 1962."
"A report for 400 copies of the edition of September 1, 1962 from John H. McCray to Mr. A. I. Morris sent on September 7, 1962."
"A letter from William G. Nunn, Sr. to Mr. John H. McCray sent on September 14, 1962 about Prattis taking a temporary leave of absence."
"A letter from William G. Nunn, Sr. to Mr. John McCray sent on September 19, 1962 about a letter received by Attorney Donald James Sampson."
"A letter to Mr. William G. Nunn, editor of the Pittsburgh Courier, September 5, 1962"
"A letter from William G. Nunn, Sr. to Donald James Sampson, Esq. sent on September 19, 1962."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for Mr. John McCray for September 1962."
"A letter from John H. McCray to Mr. P. L. Prattis sent on October 3, 1962."
"A letter from W. G. Nunn to Mr. John H. McCray sent on October 9, 1962."
"A letter from James C. Sweeney to Mr. McCray sent on October 16, 1962 about being impressed by McCray's article."
"The aide-memoire for the American Committee for aid to Katanga Freedom Fighters."
"The Committee for Conservative Action supplement to monthly newsletters for October, 1962."
"A letter from John H. McCray to N. W. Ayers and Sons about needing a current of Negro newspapers and periodicals published in the United States."
"A letter from Mr. John H. McCray to Mr. A. W. von Struve, Public Informations Officer of the Bureau of Census, sent on October 20, 1962 about needing a list of the Negro newspapers and periodicals published in the United States."
"A letter from John H. McCray to Editor Seacrest of the Cheraw Chronicle sent on October 20, 1962 about needing a list of the weekly and semi-weekly newspapers currently published in the United States."
"A letter from Lorenzo A. Hill, Business Manager, to Mr. John H. McCray sent on October 23, 1962 about terminating McCray's services."
"A document detailing James Meredith planning a capital visit revealed by Jet, October 30, 1962."
"A letter from William S. Dunmore to the Pittsburgh Courier sent on November 6, 1962 about receiving the address of Mr. John H. McCray."
"A release from the News Service of Alabama State College on November 7, 1962 about two staff members and two students representing the Department of History at the 4th Annual Meeting of the Association for the Study of Negro Life and History."
"A letter from the family to Mr. John McCray about the death of Miss Helen Manning."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for Mr. John McCray for November 1962."
"A telegram from Arthur I. Morris to Ronnie Thomas about shipping 500 copies of the November 24th issue."
"A letter from John H. McCray to Mr. Thomas W. Young, Publisher of the Journal and Fuide, sent on December 19, 1962 about working with the Journal and Guide."
"A document listing names and numbers made on March 24, 1962"
"A document listing the payments that are past due and the ones paid by check, September 30, 1962."
"A letter from John H. McCray to W. G. Nunn, Sr. about a man employed by Davis Lee."
"The monthly budget of 1962-63."
"A document with names and account numbers."
"A money receipt with the stubs permanently bound made by Penworthy."
"The total sales of Paul Griffin of January 1 through December 31 and July 1 through December 31."
"The business deductions itemized in 1962 by John H. McCray."
"The retail price list for Fuller's Quality Cosmetics for 1962."
"A letter from John H. McCray to Mr. Young sent on January 30, 1963 about the contract with the Afro and the Courier."
"A letter to Mr. Young sent on January 30, 1963."
"A letter from Norma O. Williams to Mr. McCray sent on February 7, 1963."
"The Pittsburgh Courier Publishing Company, Inc., Statement of Paper Account for Mr. John H. McCray, March 1963"
"A letter from Herman H. Long to Mr. John H. McCray sent on March 1, 1963 about the material for a creative writing project."
"A letter from Esther M. Moore to Mr. Ronnie Thomas sent on March 11, 1963 about ignoring the letters about Ronnie Thomas' balance."
"A letter from John H. McCray to Mr. Sengstacke sent on March 27, 1963 about the Chicago Defender."
"A letter from John H. McCray to Mr. Hicks about the Amsterdam News."
"A letter to Mr. John H. McCray sent on April 9, 1963."
"A letter from Levi. G. Byrd to Mr. McCray sent on April 19, 1963."
"Advertisements in Today's News Today."
"The Cooperative Extension Work in Agriculture and Home Economics News Release on April 20, 1963."
"A letter from John H. McCray to Mr. Austin sent on April 24, 1963."
"A document detailing Georgetown News made on April 24, 1963."
"A letter from Lester L. Bates to Mr. John H. McCray sent on April 25, 1963 congratulating him on starting publication of the Lighthouse and Times."
"A letter from James L. Hicks to Mr. John H. McCray sent on April 26, 1963."
"A letter form L. E. Austin to Mr. John McCray sent on April 29, 1963 about a proposal for the establishment of a newspaper in Columbia."
"Release week beginning on April 29, 1963."
"A letter to Mr. Austin sent on April 30, 1963 about a letter from Mr. Austin."
"A letter from John H. McCray to Mr. Lewis Austin sent on May 2, 1963."
"News in Cheraw released on May 4, 1963."
"The Historic Second Cavalry Church begins work on its new edifice, May 4, 1963."
"Gus Floyd is buried in Greenville, S. C."
"The grand opening of Brooks Motel and Grill, May 4, 1963."
"A letter from John H. Sengstacke to Mr. John H. McCray sent on May 6, 1963 about John H. Sengstacke leaving the country for two weeks."
"A letter from Capital Printing Company to Mr. John H. McCray sent on May 7, 1963 about an estimate of printing."
"A letter to John sent on May 10, 1963 about the Carolina Defender."
"A letter from John H. McCray to Dr. Harrison Jenkins sent on May 12, 1963."
"A letter to Herman sent on May 13, 1963."
"A letter about the conditions at the John G. Richards Industrial School"
"A letter from John H. McCray to Mr. Donald S. Russell Jr. sent on May 20, 1963 about the John G. Richards Industrial School."
"A letter from Herman H. Long to Mr. John H. McCray sent on May 24, 1963 about serving the Institute of at Fisk University."
"A letter from John H. McCray to Mayor Bates sent on May 30, 1963."
"A letter from John H. McCray to Mr. Prattis sent on June 5, 1963 about paying the Courier."
"A letter from John H. McCray to Mr. John H. Sengstakce sent on June 5, 1963 about involving John H. McCray's services and employment with the Defender."
"A Western Union Telegraph from Lilliam S. Calhoun to John McCray sent on June 21, 1963 about wanting John McCray to write exclusive columns."
"The names of participants suggested for mailings, June 24, 1963."
"A letter from Lillian S. Calhoun to Mr. John H. McCray sent on June 27, 1963 about McCray writing an exclusive column about news stories and outstanding personalities in the South."
"A letter from John H. McCray to Peter A. Hall sent on July 8, 1963."
"A letter to Governor Donald S. Russell sent on July 9, 1963"
"A letter to Governor Donald S. Russell sent on July 9, 1964"
"A letter to Governor Donald S. Russell sent on July 9, 1965"
"A letter to Governor Donald S. Russell sent on July 9, 1966"
"A letter to Mr. John H. McCray sent on July 18, 1963 about McCray's news copy and column."
"A letter from John H. McCray to Mrs. Annie Bell Weston sent on July 22, 1963 about a letter Mrs. Weston received about the John G. Richards Industrial School."
"A letter from Joseph T. Taylor to Mr. John H. McCray about McCray's column in the Defender."
"A letter from Joseph T. Taylor to Mr. John H. McCray about McCray's thesis."
"A letter from John H. McCray to Mr. Stanley Tate sent on August 9, 1963 about McCray's job for the Defender."
"A letter from C. Sumner Stone to Mr. John H. McCray sent on August 14, 1963 about McCray's letter concerning his association with the Chicago Defender."
"A letter from John H. McCray to C. Sumner Stone, Editor in Chief, sent on August 16, 1963."
"A letter from Elaine Cyrus to John sent on August 18, 1963."
"A letter from Chuck Sumner Stone to Mr. John H. McCray sent on August 21, 1963 about the Defender terminating its association with the South."
"A letter from John H. McCray to Mr. James L. Hicks sent on August 29, 1963 about a """"Roving About Carolina"""" column special."
