CONTENTdm number,Reference URL,Title,Description,Year,Original Transcript,Semi-clean Transcript,Clean Transcript
3997,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3997,"Letter to Mr. John Henry McCray from E. E. Gaulden, August 26, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on August 26, 1948.",1948,"606 Caldwell St  Newberry S.C  Ayghst 26,1948    Mr John H.McCray    1022^ Washington St    Columbia S .C    Dear Mr McCray:    I recieved your returned letter,and I am glad to say that RevH.W.Gilliam  paid one-dollar,and please mention it in your next paper.    I am sending another name;Elder Nance Helena S.C    There &lt; 11 be more money coming in from Newberry after Sunday.    Enclosed $2:00 dollars.    Mr McCray We want you and Mr Hinton in Newberry about the second  Sunday in October in a mass meeting,as we are working hard to keep our  people looking upward.    E","606 Caldwell St Newberry S.C Ayghst 26,1948
Mr John H.McCray
1022 Washington St
Columbia S .C
Dear Mr McCray:
I recieved your returned letter,and I am glad to say that RevH.W.Gilliam paid one-dollar,and please mention it in your next paper.
I am sending another name;Elder Nance Helena S.C
There &lt; 11 be more money coming in from Newberry after Sunday.
Enclosed $2:00 dollars.
Mr McCray We want you and Mr Hinton in Newberry about the second Sunday in October in a mass meeting,as we are working hard to keep our people looking upward.
E","606 Caldwell St
Newberry, S.C.
August 26, 1948

Mr. John H. McCray
1022 Washington St
Columbia, S.C.

Dear Mr. McCray:

I received your returned letter, and I am glad to say that Rev. H. W. Gilliam paid one dollar, and please mention it in your next paper.

I am sending another name: Elder Nance, Helena, S. C. There will be more money coming in from Newberry after Sunday. Enclosed $2.00.

Mr. McCray, we want you and Mr. Hinton in Newberry about the second Sunday in October in a mass meeting, as we are working hard to keep our people looking upward."
3998,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3998,"Letter to Mr. John Henry McCray from E. E. Gaulden, August 30, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on August 30, 1948.",1948,"606 Caldwell St  Newberry S .C  August 30,1948    Mr John H.McCray    1022^ Washington St    Columbia S.C    Dear Mr McCray:    We are sending you some more names and money on the Truman Drive,thia  is not the last report;other reports will be coming in to your office  shortly.    The names of those who gave will be found on the other page.","606 Caldwell St Newberry S .C August 30,1948
Mr John H.McCray
1022 Washington St
Columbia S.C
Dear Mr McCray:
We are sending you some more names and money on the Truman Drive,thia is not the last report;other reports will be coming in to your office shortly.
The names of those who gave will be found on the other page.","606 Caldwell St
Newberry, S.C.
August 30, 1948

Mr. John H. McCray
1022 Washington St
Columbia, S.C.

Dear Mr. McCray:

We are sending you some more names and money on the Truman Drive; this is not the last report. Other reports will be coming in to your office shortly. The names of those who gave will be found on the other page."
3999,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3999,"Letter to Mr. John Henry McCray from E. E. Gaulden, September 20, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on September 20, 1948.",1948,"606 Caldwell St  Newberry S.C  Sept 20,1948    Mr John H.McCray    1022^ Washington St    Columbia S.C    Dear Mr McCray:    I hope that your trip in Saluda Sunday was a successful one,as we are  in need of more workers in this progressive movement.    Mr McCray I would like for you to check over your list of doners in  thr Truman Drive and see if you overlooked the last list that was sent from  Newberry by Mrs Pratt .She was telling me about it on yesterday and I thought  that I would call your attention to it.    Those who give looks for their names to be in the paper along with  the others.    Thank you so much for your consideration in this matter.","606 Caldwell St Newberry S.C Sept 20,1948
Mr John H.McCray
1022 Washington St
Columbia S.C
Dear Mr McCray:
I hope that your trip in Saluda Sunday was a successful one,as we are in need of more workers in this progressive movement.
Mr McCray I would like for you to check over your list of doners in thr Truman Drive and see if you overlooked the last list that was sent from Newberry by Mrs Pratt .She was telling me about it on yesterday and I thought that I would call your attention to it.
Those who give looks for their names to be in the paper along with the others.
Thank you so much for your consideration in this matter.","606 Caldwell St
Newberry, S.C.
Sept. 20, 1948

Mr. John H. McCray
1022 Washington St
Columbia, S.C.

Dear Mr. McCray:

I hope that your trip in Saluda Sunday was a successful one, as we are in need of more workers in this progressive movement.

Mr. McCray, I would like for you to check over your list of donors in the Truman Drive and see if you overlooked the last list that was sent from Newberry by Mrs. Pratt. She was telling me about it yesterday, and I thought that I would call your attention to it. Those who give look for their names to be in the paper along with the others.

Thank you so much for your consideration in this matter."
4017,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4017,"Letter to Mr. J. L. Morgan from John Henry McCray, September 24, 1945","A letter to Mr. J. L. Morgan from John H. McCray sent on September 24, 1945.",1945,"September 24,1945    Mr. J.L. Morgan  Box 26    Mullins,S,C.    Dear Mr. Morgan:    Our legal action committee has authorized me  to prepare through the county organization for Marlon, a case  against the Board of Registration, data for the action to  be gathered on October 1, 1945, which Is Monday coming and the  date provided by law for registration during that month.    The committee decided upon the action after  studying at length a number of statements from your county  which have been referred to It dealing with divers schemes  employed, or apparently employed, by the Board at Marlon for  the sole purpose of abridging the rights of Negroes to qualify  and to prepare for voting as are outlined in both the federal  and state constitutions.    Among the complaints in this office are those  alleging that Board members deliberately absent themselves  when Negroes appear or as if forewarned by a sentry, avoid  Negro applicants.    We are ready to move off on this scheme used  against us. Merlon county has been selected as the testing  ground. As county chairman, together with our secretary, Mr.  George H, Chismf you are requested to take as many persons to  Marlon as posslole, and have your various precinct leaders In  all sections of the county do likewise. You are further requested  to have put Into affadavlt form within 48 hours of October 1  Individual cases of Irregularities.    You of course know that state law offers reglstrat  Ion to all citizens 21 years of age or over who own and have paid  all collectible taxes on $300 or more worth of real estate or, an  to those who lacking the real estate qualification can both read  and write any section of the state constitution of 1895 the offic  might submit. Any action beyond these provisions are violations.    Very truly yours,    JHMcC:MLG , John H. McCray,    STATE CHAIRMAN","September 24,1945
Mr. J.L. Morgan Box 26
Mullins,S,C.
Dear Mr. Morgan:
Our legal action committee has authorized me to prepare through the county organization for Marlon, a case against the Board of Registration, data for the action to be gathered on October 1, 1945, which Is Monday coming and the date provided by law for registration during that month.
The committee decided upon the action after studying at length a number of statements from your county which have been referred to It dealing with divers schemes employed, or apparently employed, by the Board at Marlon for the sole purpose of abridging the rights of Negroes to qualify and to prepare for voting as are outlined in both the federal and state constitutions.
Among the complaints in this office are those alleging that Board members deliberately absent themselves when Negroes appear or as if forewarned by a sentry, avoid Negro applicants.
We are ready to move off on this scheme used against us. Merlon county has been selected as the testing ground. As county chairman, together with our secretary, Mr. George H, Chismf you are requested to take as many persons to Marlon as posslole, and have your various precinct leaders In all sections of the county do likewise. You are further requested to have put Into affadavlt form within 48 hours of October 1 Individual cases of Irregularities.
You of course know that state law offers reglstrat Ion to all citizens 21 years of age or over who own and have paid all collectible taxes on $300 or more worth of real estate or, an to those who lacking the real estate qualification can both read and write any section of the state constitution of 1895 the offic might submit. Any action beyond these provisions are violations.
Very truly yours,
JHMcC:MLG John H. McCray,
STATE CHAIRMAN","September 24, 1945

Mr. J. L. Morgan
Box 26
Mullins, S.C.

Dear Mr. Morgan:

Our legal action committee has authorized me to prepare, through the county organization for Marion, a case against the Board of Registration, data for the action to be gathered on October 1, 1945, which is Monday coming and the date provided by law for registration during that month. The committee decided upon the action after studying at length a number of statements from your county which have been referred to it, dealing with divers schemes employed, or apparently employed, by the Board at Marion for the sole purpose of abridging the rights of Negroes to qualify and to prepare for voting as are outlined in both the federal and state constitutions.

Among the complaints in this office are those alleging that Board members deliberately absent themselves when Negroes appear or, as if forewarned by a sentry, avoid Negro applicants. We are ready to move off on this scheme used against us. Marion County has been selected as the testing ground.

As county chairman, together with our secretary, Mr. George H. Chism, you are requested to take as many persons to Marion as possible, and have your various precinct leaders in all sections of the county do likewise. You are further requested to have put into affidavit form within 48 hours of October 1 individual cases of irregularities.

You of course know that state law offers registration to all citizens 21 years of age or over who own and have paid all collectible taxes on $300 or more worth of real estate, or to those who, lacking the real estate qualification, can both read and write any section of the state constitution of 1895 the office might submit. Any action beyond these provisions are violations.

Very truly yours,
John H. McCray
STATE CHAIRMAN"
4022,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4022,"Letter to Mr. George Henry Chism from John Henry McCray, August 7, 1945","A letter to Mr. George H. Chism from John H. McCray sent on August 7, 1945.",1945,"August 7,    1945    Mr. George H. Chism    305 Church Street  Mullins, S. C.    Desr Mr, Chism:    Under separate cover we are sending two  copies of the State Constitution and other  information which might be helpful ip developing  a live wire PDP for Marlon County.    In line with our discussion in Florence  &lt;n June 4th, I am looking forward to big things  you as the driving force in Marion County. We  are hoping that a public meeting In Interest  of the PDP will be held soon.    Pledging you fullest support and cooperation    I am    Sincerely yours,    John H. McCray    JHMcCidab","August 7,
1945
Mr. George H. Chism
305 Church Street Mullins, S. C.
Desr Mr, Chism:
Under separate cover we are sending two copies of the State Constitution and other information which might be helpful ip developing a live wire PDP for Marlon County.
In line with our discussion in Florence &lt;n June 4th, I am looking forward to big things you as the driving force in Marion County. We are hoping that a public meeting In Interest of the PDP will be held soon.
Pledging you fullest support and cooperation
I am
Sincerely yours,
John H. McCray
JHMcCidab","August 7, 1945

Mr. George H. Chism
305 Church Street
Mullins, S. C.

Dear Mr. Chism:

Under separate cover we are sending two copies of the State Constitution and other information which might be helpful in developing a live wire P.D.P. for Marion County.

In line with our discussion in Florence on June 4th, I am looking forward to big things from you as the driving force in Marion County. We are hoping that a public meeting in interest of the P.D.P. will be held soon.

Pledging you fullest support and cooperation, I am

Sincerely yours,
John H. McCray"
4033,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4033,"Letter to the Honorable Earle R. Ellerbe from John Henry McCray, November 10, 1945","A letter to the Honorable Earle R. Ellerbe from John H. McCray sent on November 10, 1945.",1945,"November 10,1945    The Honorable Eerie R. Ellerbe  State Senator Marion County  Marion,8.C.    Dear Sir:    I wish again to call to your attention certain  irregularities surrounding the registration board in  Marion county, having first done so a little over one  month ago.    During registration hours on Monday, Nov. 5,1945,  about one hundred and sixty-two (16*0 colored citizens in  Marlon county presented themselves at the county courthouse,  before the Hone able F.M. Boatwright, reported to be the  Registration Board chairman, and another unnamed man. It is  believed that the names and addresses of these people are  in the possession of the two men*    rhe first applying person was compelled to read the  entire State Constitution and afterwards ""interpret"" it. At  his protest the same was not requested of all successive  applicants.    The Registration officer (chairman) is reported by  numerous persons under oath to have ignored tax receipts of  persons who, un'er the state constitution, are entitled to  voting certificates without the literacy test, being told they  ""mean nothing*.    We are striving earnestly to avoid unnecessary actions  to have the State and Federal Constitutions observed in the  process of registration in Harion county and appeal to you  finally to such action as may be hecersary to Insure proper  and due processes in this respect.    CC: Mr. jo a twr igh t    Very truly yours,    John H. McCray","November 10,1945
The Honorable Eerie R. Ellerbe State Senator Marion County Marion,8.C.
Dear Sir:
I wish again to call to your attention certain irregularities surrounding the registration board in Marion county, having first done so a little over one month ago.
During registration hours on Monday, Nov. 5,1945, about one hundred and sixty-two (16*0 colored citizens in Marlon county presented themselves at the county courthouse, before the Hone able F.M. Boatwright, reported to be the Registration Board chairman, and another unnamed man. It is believed that the names and addresses of these people are in the possession of the two men*
rhe first applying person was compelled to read the entire State Constitution and afterwards ""interpret"" it. At his protest the same was not requested of all successive applicants.
The Registration officer (chairman) is reported by numerous persons under oath to have ignored tax receipts of persons who, un'er the state constitution, are entitled to voting certificates without the literacy test, being told they ""mean nothing*
We are striving earnestly to avoid unnecessary actions to have the State and Federal Constitutions observed in the process of registration in Harion county and appeal to you finally to such action as may be hecersary to Insure proper and due processes in this respect.
CC: Mr. jo a twr igh t
Very truly yours,
John H. McCray","November 10, 1945

The Honorable Earle R. Ellerbe
State Senator
Marion County
Marion, S.C.

Dear Sir:

I wish again to call to your attention certain irregularities surrounding the registration board in Marion County, having first done so a little over one month ago.

During registration hours on Monday, Nov. 5, 1945, about one hundred and sixty-two (162) colored citizens in Marion County presented themselves at the county courthouse, before the Honorable F. M. Boatwright, reported to be the Registration Board chairman, and another unnamed man. It is believed that the names and addresses of these people are in the possession of the two men.

The first applying person was compelled to read the entire State Constitution and afterwards “interpret” it. At his protest, the same was not requested of all successive applicants. The registration officer (chairman) is reported by numerous persons under oath to have ignored tax receipts of persons who, under the state constitution, are entitled to voting certificates without the literacy test, being told they “mean nothing.”

We are striving earnestly to avoid unnecessary actions to have the State and Federal Constitutions observed in the process of registration in Marion County and appeal to you finally to take such action as may be necessary to insure proper and due processes in this respect.

CC: Mr. Boatwright

Very truly yours,
John H. McCray"
4039,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4039,"Letter to Mr. James M. Hinton from Theron L. Caudle, January 5, 1946","A letter to Mr. James M. Hinton from Theron L. Caudle sent on January 5, 1946.",1946,"copy    TLC:TLS:esw  72-67-0    DEPARTMENT of justice    ashington 25,D.C.    January 5,1946    Mr. James M. Hinton, President    South Carolina State Conference of NAACP  P.O. Box 1145, Columbia, South Carolina    Dear Hr. Hinton:    This acknowledges your letter of December 21,  1945, concerning the refusal of election officials in  Marion County, South Caroline, to permit Negroes to  register for voting. This matter will have my immediate  attention.    Your letter states that you will be glad to  furnish affidavits concerning the circumstances, end I  will appreciate receiving detailed information in  affidavit form.    Respectfully,    For the Attorney General  (signature)    Theron L, caudle  Assistant Attorney General","copy
TLC:TLS:esw 72-67-0
DEPARTMENT of justice
ashington 25,D.C.
January 5,1946
Mr. James M. Hinton, President
South Carolina State Conference of NAACP P.O. Box 1145, Columbia, South Carolina
Dear Hr. Hinton:
This acknowledges your letter of December 21, 1945, concerning the refusal of election officials in Marion County, South Caroline, to permit Negroes to register for voting. This matter will have my immediate attention.
Your letter states that you will be glad to furnish affidavits concerning the circumstances, end I will appreciate receiving detailed information in affidavit form.
Respectfully,
For the Attorney General (signature)
Theron L, caudle Assistant Attorney General","DEPARTMENT OF JUSTICE
Washington 25, D. C.

January 5, 1946

Mr. James M. Hinton, President
South Carolina State Conference of NAACP
P. O. Box 1145
Columbia, South Carolina

Dear Mr. Hinton:

This acknowledges your letter of December 21, 1945, concerning the refusal of election officials in Marion County, South Carolina, to permit Negroes to register for voting. This matter will have my immediate attention.

Your letter states that you will be glad to furnish affidavits concerning the circumstances, and I will appreciate receiving detailed information in affidavit form.

Respectfully,
For the Attorney General

Theron L. Caudle
Assistant Attorney General"
4069,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4069,"Letter to Mr. Julian Morgan from John Henry McCray, July 8, 1948","A letter to Mr. Julian Morgan from John H. McCray sent on July 8, 1948.",1948,"July 8, 1948    Mr* Julian Morgan    P. 0* Box 26    Mullins, 8* C.    Dear Mr* Morgans    This acknowledges receipt of one hundred dollars*  (1100*30) foan Progressive Democrats in Marion  County*    This money is being turned over to state treasurer  J* C* Artanus vho will issue an official receipt* and  will be ewedited against the 1948 assessment of  Marion County.    We are making good progress and suggest to you to  continue raising money which can beused in your own  area or elsewhere in the state to finish the battle*    Sincerely yours.    John H* McCray    JHMoC/dd","July 8, 1948
Mr* Julian Morgan
P. 0* Box 26
Mullins, 8* C.
Dear Mr* Morgans
This acknowledges receipt of one hundred dollars* (1100*30) foan Progressive Democrats in Marion County*
This money is being turned over to state treasurer J* C* Artanus vho will issue an official receipt* and will be ewedited against the 1948 assessment of Marion County.
We are making good progress and suggest to you to continue raising money which can beused in your own area or elsewhere in the state to finish the battle*
Sincerely yours.
John H* McCray
JHMoC/dd","July 8, 1948

Mr. Julian Morgan
P. O. Box 26
Mullins, S.C.

Dear Mr. Morgan:

This acknowledges receipt of one hundred dollars ($100.00) from Progressive Democrats in Marion County. This money is being turned over to State Treasurer J. C. Artanus, who will issue an official receipt, and will be credited against the 1948 assessment of Marion County.

We are making good progress and suggest to you to continue raising money which can be used in your own area or elsewhere in the state to finish the battle.

Sincerely yours,
John H. McCray"
4076,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4076,"Letter to Mr. Julien Morgan from John Henry McCray, September 14, 1948","A letter to Mr. Julien from John H. McCray sent on September 14, 1948.",1948,"September 14, ^W8    Mr. Julien Morgan  P. 0. Box 26  Mullins, S, C.    Dear Mr. Morgan:    This Is to acknowledge end thank you for your very  fine support for the Re-elect Truman Caapel n, end  the amount of 1250.00 from Marion County.    We are very pleased to receive this report, however,  we note a discrepancy of $20.00 In the breakdown of  Precincts, which totals f270.00, while the money  orders are for $250.00. Please let us hear from you  concerning this so that we can give Marion County  the proper credit.    Again, thank you, end we hope that you In your county  will continue to work until the end of the Campaign.    Sincerely yours,    John H, McCray  State Director    JHMcC/dd","September 14,
Mr. Julien Morgan P. 0. Box 26 Mullins, S, C.
Dear Mr. Morgan:
This Is to acknowledge end thank you for your very fine support for the Re-elect Truman Caapel n, end the amount of 1250.00 from Marion County.
We are very pleased to receive this report, however, we note a discrepancy of $20.00 In the breakdown of Precincts, which totals f270.00, while the money orders are for $250.00. Please let us hear from you concerning this so that we can give Marion County the proper credit.
Again, thank you, end we hope that you In your county will continue to work until the end of the Campaign.
Sincerely yours,
John H, McCray State Director
JHMcC/dd","September 14, 1948

Mr. Julien Morgan
P. O. Box 26
Mullins, S. C.

Dear Mr. Morgan:

This is to acknowledge and thank you for your very fine support for the Re-elect Truman Campaign, and the amount of $250.00 from Marion County. We are very pleased to receive this report; however, we note a discrepancy of $20.00 in the breakdown of precincts, which totals $270.00, while the money orders are for $250.00. Please let us hear from you concerning this so that we can give Marion County the proper credit.

Again, thank you, and we hope that you in your county will continue to work until the end of the campaign.

Sincerely yours,
John H. McCray
State Director"
4080,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4080,"Letter to Mr. J. Henry McCray from M. A. Morgan, October 2, 1948","A letter to Mr. John H. McCray from M. A. Morgan sent on October 2, 1948.",1948,"Box 26    Mullins, S.C.    Oct. 2,1948    Mr.J.H. McCray    I022J Washington St.    $ -    Columbia, S.C.    Dear Mr. McCray:    I have received $18.00 from the Progressive Club  of Aiken. A.D. Smith, Box 49, Aiken, S.C.    We would like for you to give the amount of money  raised by Marion County in the Truman drive and also the  names of those who contributed in the next issue of your  paper. I thought we did extremely well.    Sincerely,    M.A. Morgan            f $ *  y&lt;% *","Box 26
Mullins, S.C.
Oct. 2,1948
Mr.J.H. McCray
I022J Washington St.
Columbia, S.C.
Dear Mr. McCray:
I have received $18.00 from the Progressive Club of Aiken. A.D. Smith, Box 49, Aiken, S.C.
We would like for you to give the amount of money raised by Marion County in the Truman drive and also the names of those who contributed in the next issue of your paper. I thought we did extremely well.
Sincerely,
M.A. Morgan
f
y&lt; ","Box 26
Mullins, S.C.
Oct. 2, 1948

Mr. J. H. McCray
1022 Washington St.
Columbia, S. C.

Dear Mr. McCray:

I have received $18.00 from the Progressive Club of Aiken, A. D. Smith, Box 49, Aiken, S.C.

We would like for you to give the amount of money raised by Marion County in the Truman Drive and also the names of those who contributed in the next issue of your paper. I thought we did extremely well.

Sincerely,
M. A. Morgan"
4083,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4083,"Letter to Reverand J. E. Grice from John Henry McCray, October 15, 1948","A letter to Reverand J. E. Grice from John H. McCray sent on October 15, 1948.",1948,"October 15, 194S    Rev. J. E. grice    Route 3, Box 77  Marion, South Carolina    Dear Rev. Grice:    This acknowledges receipt of your letter and dollar for  the Campaign to Re-elect President Truman.    We thank you very much, and are glad to know we can  count on your vote on November 2.    Sincerely yours,    JHMcC/dd    John H. &lt;4cCray    State Director","October 15, 194S
Rev. J. E. grice
Route 3, Box 77 Marion, South Carolina
Dear Rev. Grice:
This acknowledges receipt of your letter and dollar for the Campaign to Re-elect President Truman.
We thank you very much, and are glad to know we can count on your vote on November 2.
Sincerely yours,
JHMcC/dd
John H. &lt;4cCray
State Director","October 15, 1948

Rev. J. E. Grice
Route 3, Box 77
Marion, South Carolina

Dear Rev. Grice:

This acknowledges receipt of your letter and dollar for the Campaign to Re-elect President Truman. We thank you very much, and are glad to know we can count on your vote on November 2.

Sincerely yours,
John H. McCray
State Director"
4173,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4173,"Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948,"R3-ELECT TRUmAN COLmITTEE    John H. McCray, Director  1022| Washington Street  Columbia, South Carolina    Sidney S. Toom, Field Chairn  Orangeburg County    R. 0. D. 1, Box 81,  Orangeburg, South Carolina    August 19, 1948    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount listed, as their contribution to the National Campaign to  re-elect Truman.","R3-ELECT TRUmAN COLmITTEE
John H. McCray, Director 1022| Washington Street Columbia, South Carolina
Sidney S. Toom, Field Chairn Orangeburg County
R. 0. D. 1, Box 81, Orangeburg, South Carolina
August 19, 1948
The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount listed, as their contribution to the National Campaign to re-elect Truman.","RE-ELECT TRUMAN COMMITTEE
John H. McCray, Director
1022 Washington Street
Columbia, South Carolina

Sidney S. Toom, Field Chairman
Orangeburg County
R. D. 1, Box 81
Orangeburg, South Carolina

August 19, 1948

The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount listed as their contribution to the National Campaign to re-elect Truman."
4176,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4176,"Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948,"RE-ELECT TRUklAN COLmlTTEE    John H. kicCray, Director  1022-ij Washington Street  Columbia, South Carolina    August 19, 1948    Sidney S. Toom, Field Chain,  Orangeburg County    R. B. D. 1, Box 81, '    Orangeburg, South Carolina    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount Listed, as their contribution to the National Campaign to  re-elect Truman.","RE-ELECT TRUklAN COLmlTTEE
John H. kicCray, Director 1022-ij Washington Street Columbia, South Carolina
August 19, 1948
Sidney S. Toom, Field Chain, Orangeburg County
R. B. D. 1, Box 81,
Orangeburg, South Carolina
The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount Listed, as their contribution to the National Campaign to re-elect Truman.","RE-ELECT TRUMAN COMMITTEE
John H. McCray, Director
1022 Washington Street
Columbia, South Carolina

August 19, 1948

Sidney S. Toom, Field Chairman
Orangeburg County
R. D. 1, Box 81
Orangeburg, South Carolina

The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount listed as their contribution to the National Campaign to re-elect Truman."
4177,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4177,"Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948,"RS-EL3CT TRUrnAN CCLUTTEE    Joan H. McCray, Director  1022| Washington Street  Columbia, South Carolina    August 19, 1948    Sidney S. Tooin, Field Chairm  Orangeburg County    R. B. D. 1, Box 81,  Orangeburg, South Carolina    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount listed, as their contribution to the National Campaign to","RS-EL3CT TRUrnAN CCLUTTEE
Joan H. McCray, Director 1022| Washington Street Columbia, South Carolina
August 19, 1948
Sidney S. Tooin, Field Chairm Orangeburg County
R. B. D. 1, Box 81, Orangeburg, South Carolina
The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount listed, as their contribution to the National Campaign to","RE-ELECT TRUMAN COMMITTEE
John H. McCray, Director
1022 Washington Street
Columbia, South Carolina

August 19, 1948

Sidney S. Toom, Field Chairman
Orangeburg County
R. D. 1, Box 81
Orangeburg, South Carolina

The undersigned persons herewith pledge their vote on November 2, 1948, and give the amount listed as their contribution to the National Campaign to"
4191,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4191,"Letter to Mr. Sidney S. Tobin from John Henry McCray, September 25, 1948","A letter to Mr. Sidney S. Tobin from John H. McCray sent on September 25, 1948.",1948,"September 25, 1948    Mr. Sidney S. Tobin    Route 1, -ox 81  Orangeburg, S, C,    Dear Mr. Tobin:    Thank you for your letter of September 24 and the  kind Invitation to epeak at the county-wide ""Truman  for President"" rally at the Mt. Pisgah baptist  Church.    You failed, however, to state in your letter what  Friday night this meeting is to take place. Please  send us this information as soon as possible.    Sincerely yours,    JHMcC/dd    John H. McCray    State Director    Re-elect Truman Committee","September 25, 1948
Mr. Sidney S. Tobin
Route 1, -ox 81 Orangeburg, S, C,
Dear Mr. Tobin:
Thank you for your letter of September 24 and the kind Invitation to epeak at the county-wide ""Truman for President"" rally at the Mt. Pisgah baptist Church.
You failed, however, to state in your letter what Friday night this meeting is to take place. Please send us this information as soon as possible.
Sincerely yours,
JHMcC/dd
John H. McCray
State Director
Re-elect Truman Committee","September 25, 1948

Mr. Sidney S. Tobin
Route 1, Box 81
Orangeburg, S.C.

Dear Mr. Tobin:

Thank you for your letter of September 24 and the kind invitation to speak at the county-wide “Truman for President” rally at the Mt. Pisgah Baptist Church. You failed, however, to state in your letter what Friday night this meeting is to take place. Please send us this information as soon as possible.

Sincerely yours,
John H. McCray
State Director
Re-elect Truman Committee"
4207,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4207,"Letter from Sidney S. Tobin, September 24, 1948, Page 2","A letter from Sidney S. Thompson sent on September 24, 1948.",1948,"September 24, 1948    Dear Pastor and Christian Friends;    * The progressive, militant and dynamic leader,    Mr. John H. mcCray, Editor of the Lighthouse and Informer  will speak to the citizens of Orangobueg on Friday night,  October 1 at Mt. Pisgah Baptist Church at 8:00 p.m.    You are invited to attend.    Sidney S. Tobin","September 24, 1948
Dear Pastor and Christian Friends;
The progressive, militant and dynamic leader,
Mr. John H. mcCray, Editor of the Lighthouse and Informer will speak to the citizens of Orangobueg on Friday night, October 1 at Mt. Pisgah Baptist Church at 8:00 p.m.
You are invited to attend.
Sidney S. Tobin","September 24, 1948

Dear Pastor and Christian Friends:

The progressive, militant, and dynamic leader, Mr. John H. McCray, Editor of the Lighthouse and Informer, will speak to the citizens of Orangeburg on Friday night, October 1, at Mt. Pisgah Baptist Church at 8:00 p.m. You are invited to attend.

Sidney S. Tobin"
4225,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4225,"Letter to the Business Manager of the Spartanburg Herald from John Henry McCray, September 14, 1944","A letter to the Business Manager of the Spartanburg Herald from John H. McCray sent on September 14, 1944.",1944,"September 14, 1944    Business Manager    Spartanburg Herald    Spartanburg, South Carolina    Dear Sir,    Would you be so kind as to send to us your  political advertising rates? We are in need of  this information to plan our budget for our  coming fall campaign.    jhmitl    Sincerely yours.    John H, McCray  State Chairman","September 14, 1944
Business Manager
Spartanburg Herald
Spartanburg, South Carolina
Dear Sir,
Would you be so kind as to send to us your political advertising rates? We are in need of this information to plan our budget for our coming fall campaign.
jhmitl
Sincerely yours.
John H, McCray State Chairman","September 14, 1944

Business Manager
Spartanburg Herald
Spartanburg, South Carolina

Dear Sir:

Would you be so kind as to send to us your political advertising rates? We are in need of this information to plan our budget for our coming fall campaign.

Sincerely yours,
John H. McCray
State Chairman"
