Title,Creator,Contributors,Extent,Date,Source,Subject,Description,Digital Collection,Website,Contributing Institution,Rights,Time Period,Geographic Location,Language,Digitization Specifications,Date Digital,Type,Format,Media Type,Identifier,Note,Digital Assistant,Transcript,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Letter, 1954 March 15, William H. Washington to Adams requesting urgent financial assistance, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-11,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/10,10,11.jp2,/adamsea/image/11.jp2
"Letter, 1954 March 15, William H. Washington to Adams requesting urgent financial assistance, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea24-12,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/11,11,12.jp2,/adamsea/image/12.jp2
"Eugene Avery Adams papers, 1892-1968, folder 24; January 17-March 15, 1954","Adams, E.A. (Eugene Avery), 1886-1958",,1 folder,1954,"Manuscripts Annex, letter size papers, 12 December 1892 to 31 May 1968 and n.d. (folders 1-97)","Adams, E. A. (Eugene Avery), 1886-1958--Correspondence;Good Samaritan Waverly Hospital (Columbia, S.C.);Victory Savings Bank (Columbia, S.C.)",,"Eugene Avery Adams papers, 1892-1968",https://digital.library.sc.edu/collections/eugene-avery-adams-papers-1892-1968/,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",Post-War America (1946-1954);Civil Rights Era (1955-1969),,English,"300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, Archival Master file is a TIFF",2016-03,Still Image;Text,image/jpeg,Correspondence;Fliers;Letters;Manuscripts;Postcards;Receipts;Vouchers;Financial records;Announcements,,,Sarah Moore;Becky Thompson,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/12,12,13.cpd,/adamsea/supp/12/index.pdf
"Booklet, no date, Youth Congress Songs of the Episcopal District, front cover",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Booklets;Church records,adamsea8-01,,,"83^f
r/r^s ?
CONGRESS
50IWA
souTH CimoLDa^",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/13,13,14.jp2,/adamsea/image/14.jp2
"Booklet, no date, Youth Congress Songs of the Episcopal District, page 2-3",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea8-02,,,"_^_j. M TO KEEP !
A.charge to keep I have, 1 God to glorify?
A never dying soul to save. And fit it for thy sky.
To serve the present age, Iy calling to fulfill; 0 may it all my powers ' engage. To do my Master’s will.
Arm me with jealous care, A& in^Thy sight to live’' And 0, thy servant,Lord, prepare, A strict account to give.
Help me to natch and'pray. And on Thyself rely ;
Assur’d, if I my trust betray, I shall forever die.
.365,
^-^F0R A HEART TO BRAISE Iff GOP.
fora health to praise my God, heart from sin set free? heart the alwys feels thy ood. So freely spilt for me.
eart resigned, submissive, P^ ly great Redeemer’s throne; re.'only Christ is heard to ak. Where Jesus reigns alone.
0'for a lowly, contrite heart, Believing,true and clean? Which neither life nor daeth can pa; From him that dwells within.
A heart 'in every thought renev/rd? Arid full of love' divine? Perfect,arid right, and'pure and good A. copy. Lord, of Thine.
^M*0_F0R A THOUSAHD TONGUES TO SING,
or a. thousand tongues to sing, Iy great Redeemer’s praise, e glories of my God and King, The triumph of His grace.
■..y gracious Easter and my God,Assist me to proclaim, To spread through all the earth abroad, The honors of Thy name.
Jesus,the name that charms our fears, That bids our sorrows cease, Elis music in the sinners ears, ’Tis life, and health, and peace.
He breaks the pow’r of canceled sin,He sets the prisoner free? 1; s; blood can make the foulest clean ; His blood availed for me.
'• -ra Him^ye deaf?His praise, ye dumb, Your Loosened tongues employ; Yh blind, behold your Saviour come? And leap, ye lame for joy.
U99. JESUS IS ALL TIE TORLD TO IE.
Jesus is all the World to me, Iy life, ray joy, my all, He is ray strength, from day to day, Without Him I would fall,. When I am sad, to Him I go, No'other one can cheer me so; When I am sad He makes me glad, He’s my Friend,
Jesus is all the world to me, Iy Friend in trials sore; I go to Him for blessings, and He gives them o’er and o’er. „ He sends the sunshine and therain. He sends the harvest golden grain;Suns hine and rain, harvest of grain. Ha’s my Friend.
JeSus is all the world to roe, And true to Him I’ll be;
Oh, how could I this Friend deny, When He’s so true to me ? Following Him I know I’m right, He watches over’me day and night Following Him, by day and night, He’s my Friend.
Jesus is all the world to me, I vrant^o better friend;
I trust Him now, 1*11 trust Him Life s fleeting days shall end. Beautiful life rath'such a Friend; Beautiful' life that has no end; Eternal life, eternal joy, He’s my Friend.
182.  PASS IE NOT, 0 GENTIE SAVIOUR.
Pass me not, 0 Gentle Saviour, Hear ray humble cry;
While on others Thou art calling, Do not pass me by.
REFRAIN
Saviour, Saviour,; Hear ray'humble cry; While on others Thou art calling, Do not pass me by.
Let me at Thy throne of mercy, Find a sweet relief;' Kneeling there in deep contrition, Help ray unbelief.
Trusting only in Thy merit, Would I seek TRy face;
Heal my wounded, broken spirit, Save me by Tly grace.
Thou the spring of all ray comfort, Hore than life to me, Whom have I on earth beside Thee ? Whom in heaven but Thee ?",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/14,14,15.jp2,/adamsea/image/15.jp2
"Booklet, no date, Youth Congress Songs of the Episcopal District, page 4-5",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea8-03,,,"227* JUST AS I All, THINE M TO S.
Just as I am. Thine own to' fed, Friend of the young, who lovest me, To consecrate nyself to Thee, . 0 Jesus Christ , I come»
In the glad morning of uy day, ly life to give, my vows to pay, hith no reserve and no delay, With all my heart I come<
I would, live ever in the light, I would work ever forthe right, ’ „ I would serve Thee witl all my might, Therefore, to T,ee, I come.
Just as I am, young, strong, 'and free, To be the best that I can be, lor truth, and righteousness, and Thee, Lord of my life, I come*
UPRISE UP,0 TEN OF GOD,
Rise up, 0 men of God ’, Have done with lesser things 5 Give heart and soul and mind and strength, To serve the King of kings*
Lise up, O men of God I His kingdom tarries long; Bring in the day of brotherhood, And end the night of wrong*
rise up, 0 men of God J The Church for you doth wait; Her* strength unequal to her task, Rise up, and make her great*
Alee up, O men of God I Trdad where' his feet have trod; Asl brofhtEB of the Son of Fan, Rise up, O men of God I A-IEN,
I love Thy kingdon, lord, The house'of Thine abode,	*♦ The Church our blest Redeemer saved, With Ids own precious blood,
I love Tty Church, 0 God,'Her walls before Type stand. Dear as the apple of Thine eye. And graven on Thy hand.
For ter ray tears shall fall, For ter ry -pcayox® ascend. To her my cares and toils be given, Till toils and cares shall end*
Beyound my highest joy I prize her heavenly ways, Her sweet communion, solemn vows, Her hymns of love and praise*
3^jl^..................................-
I need Thee every hour; Host gracious Lord, N^ tender voice like: Thine, Can peace afford 'REFRAIN^
I need Thee, 0'1 need T^c' ,Every h^ I need Thee, 0 bless me now, m^ Saviour, I come to Thee, A-IEN,
I need T^e every hour; Stay Th^u nea^ by. Temptations loose their power - Vhen Thou art ni^,
’^ ?®e ^^ hom5 In & or pain; Some quickly and abide, O^- Tire is vain*
1 ^eed Thee every hou£; Teach me Thy will; And Thy rich promises In me Tab'll,
582* TIE ID NOT ^ TCI STATION._________________
Yield not to temptation, For yielding is sin, Each Victory will help you Some other to win; Fight manfully onward, Dark passions subdue. Look ever to Jesus He’ll carry you through,
ILIIRAIN '
Ask the Saviour to help you, Comfort; strengthen, and keet you; He is willing to help you, -e will carry you througl
Shun evil companions, Bad language disdain, God’s, name hold in reverence, Nor take it in vain; Be thoughtful and earnest, Kind-hearted and true, Look ever* to Jesus He’ll carry you through,'
To 1dm that overcometh, God giveth a crown, Through faith we shall conquer, Though often cast dorm; He viho is our Saviour, Our strength will renew. Looklever to Jesus, He’ll carry you through.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/15,15,16.jp2,/adamsea/image/16.jp2
"Booklet, no date, Youth Congress Songs of the Episcopal District, page 6-7",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea8-04,,,"179. FAITH LOOKS UP TO TIRE,
Iy faith looks up to Thee, Thou Lamb of Calvary, Saviour divine; Now hear me when I pray, Tdko 'all my sin away, 0 let me from tills day, ^e Th oily Thine.
Nay Thy'rich grace impart. Strength to me fainting heart, ly Zeal inspire; As Thou'hast died for me,""O may my love to Thee, Pure, warm, and changeless he, A living fire.
While life's dark maze I tread, And grief around me spread, Be The my Guide; Bid darkness turn to day, Wipe sorrow’s tears away Not let me ever stray From Thee aside.
When ends life’s transient dream, Phen death’s cold, sullen stream Shall o’er me roll, Blest Saviour 1 then in love,""Fear and distrust removes; Oh, bear me safe above; A ransomed soul.
Sit. HARK TIE VOICE OF JESUS CALLING.
Lhrk J the voice' of Jesus calling, Who will go and work today J Fields are white, the harvest -waiting, Who will bear the sheaves 'CHORUS
Long and loud the Tester Calleth, Rich reward Jte offers free i Who -nil! answer, gladly saying, ”■ Here am I, send me, send me, ♦
Let none hear you idly saying, There is nothing I can do; While' the souls of men are dying, And the Faster calls for you.
Take the task ^ gives you gladly. Let His work your' pleasure ’_be Answer quickly when ^ calleth,-” Here am I, send me, send me.
BL HAVE THINE CMN WAY, LORD j
192. 0 GOD OUR HELP .
0 God, our help in ages past, Before the hills in order stood. Our hope for years to come; Or earth received her frame; From Our shelter from the stormy blast, everlasting thou art God, And our eternal home.	To endless years the same.
Under the shadow of thy throne, Still may we dwell secure;
Suffieient is th ine arm' alone. And our defense is sure.
A thousand ages, in tly sight. Are like and evening gone, Short' as the watch that ends the night, Before the rising sun.
0 God our help in ages past, Our hope for years to come;
Be thou our guard while, life shall last, And our perpetual home.
297 a- DOXOLOGY L.H.
[Save Thine onnway, Lord I Have Thine own way 's Thou art the Potter, [ am the clay.
'lould me and make me, After Thy will,
Thile I am-waiting, fielded and still.
Save Thine own way, Lord 1 lave Thine oral way X' Search' me and"" try me, Taster, to-day;""'
Whiter than snow, Lord, fash me Just now,""' is in Thy presence, iurnbly I bow.
Have Thine own Way,’ Lord 1 Have Thine own way J
Wounded and weary, Help ire, I pray J Power - all power;-Surely is Thine 2 Touch me and head me, Saviour divine.
Have This® own way, Lord I Have Thine own way J Holdover my being, Absolute swgy I
Fill with Thy spirit, Till all shall see,' Christ only, ’always, Living in me.
Praise God; from whom all blessings flow;
Praise him, all ’ creatures here below;
Praise him above, ye heavenly host;
Praise Father, Son, and Holy Ghost .",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/16,16,17.jp2,/adamsea/image/17.jp2
"Booklet, no date, Youth Congress Songs of the Episcopal District, back cover",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea8-05,,,"612. MEDITATION H1A1ER
Hush I Hush 1 ly soul, be calm and still.
Gone blessed Saviour enter in and forgive our sins; Heal, all our ills. Give strength for tasks. Give peace of mind And make our spirits wholly Thine — And we shall praise Thee ever more, A-ren, A-ren, A-men,
APOSTLE’S CREED
I believe in God the Fatter Almighty, Maker of heaven and earth; and in Jesus Christ, llis only Son, who was conceived by the Holy Ghost, bom of the Virgin Nary, suffered under Pontius Pilate, was crucified, dead and buried; he descended into hell; the third day He arose from the’ dead; He ascended into heaven, and sitteth on the right hand of God, the Father Almighty: from thence He shall come to judge the quick and the deal I believe in the Holy Ghost, the holy Catholic Church, the communion of saints, the forgiveness of ""sin, the resurrection of the body and life everlasting, AA EN,
190, UHf>T AJWIDJ^M^ IN jESUS^
What a Friend we have in Jesus, All our sins and griefs to bear. That a privilege to carry Everything to God in prayer 1 0 what peace we often forfeit, 0'what needless pains we'bear, All because we do not carry Everything to God in prayer,
Have we trials and temptations' ? Is there trouble any-where ?' We should never be discouraged, ""Take it to the Lord in prayer, Can we find a Friend so faithful Who will all our sorrows share Jesus knows our every weakness, Tate it to the Lord in prayer.
Are we weak and heavy-laden, Cumbered rath a load of care ? Precious Saviour, still our refuge. Take it to the Lord in pra; Do thy friends despise, forsake thee ?Take it to the Lord in pi In His arms he’ll take and shield thee, Thou wilt find a solac< there. A—IEN,",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/17,17,18.jp2,/adamsea/image/18.jp2
"Program, 1950 August 24, Welcome Program of Bethel A.M.E. Church",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Programs;Church records,adamsea8-06,,,"#35^,
^icome program
OF
^t^l J\. 41^ ^ (lliurch
Thursday Night, August 24, 1950
Music...............................Senior Choir
Prayer............................Mrs.	Anna Cary
Music...............................Senior Choir
Welcome from the City........His	Honor The Mayor
Welcome from the Organizations of Bethel Church— Mrs. L. M. Collins
Welcome—Churches of the City.....Rev. H. W. Long
Solo..............................Mrs.	V. C. Mack
Welcome—Missionaries of the City Mrs. M. K. Howard
Welcome—Public School............Prof. B. A. Gary
Selection.................................Choir
Welcome—Negro Business Men.......Mr. W. J. Hunter
Welcome—Fraternal Organizations..Mrs. A. B. Jenkins
Solo..............................Mrs.	J. T. Disher",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/18,18,19.jp2,/adamsea/image/19.jp2
"Receipt, 1950 November 13, Department of Education of A.M.E. Church to Payne Seminary for repayment of $2000 loan",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Receipts;Financial records,adamsea8-07,,,"Received from
DOLLARS
DEPARTMENT OF EDUCATION
A. M. E. CHURCH",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/19,19,20.jp2,/adamsea/image/20.jp2
"Letter, no date, Good Samaritan Waverly Hospital to Department of Education of A.M.E. Church, request for loan, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea8-08,,,"835?
BISHOP A. J. ALLEN. D. D.. LL. D.. CHAIRMAN
DEPARTMENT OF EDUCATION
A. M. E CHURCH
REV. E. A. ADAMS, A. M.. D. D., SECRETARY
2113 LADY STREET
COLUMBIA 16. S. C.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/20,20,21.jp2,/adamsea/image/21.jp2
"Letter, no date, Good Samaritan Waverly Hospital to Department of Education of A.M.E. Church, request for loan, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea8-09,,,"BISHOP A. J. ALLEN. D. D.. LL. D., CHAIRMAN
DEPARTMENT OF EDUCATION
A. M. E. CHURCH
REV. E. A. ADAMS, A. M., D. D., SECRETARY
2113 LADY STREET",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/21,21,22.jp2,/adamsea/image/22.jp2
"Booklet, no date, Youth Congress Songs for the 7th Episcopal District, front cover",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Booklets;Church records,adamsea8-10,,,"a

CONGRESS
7TH EPISCOPAL DISTRICT
SOUTH CAROLINA
BUILD WITH YOUTH
'	<7",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/22,22,23.jp2,/adamsea/image/23.jp2
