"CONTENTdm number","Reference URL","Title","Description","Year","Transcript"
3341.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3341","Letter to Harold R. Boulware from Mrs. Elliot, November 16, 1950","A letter to Harold R. Boulware from Mrs. Elliot sent on November 16, 1950.",1950.0,"LAW OFFICES OF    WILLIAM ELLIOTT    BERKELEY BUILDING    COLUMBIA. S. C.    Telephone 4*4489 - 5456    November 16, 1950.    Harold R. Boulware, Esq.,  Attorney at Law,  1169^- Washington Street,  Columbia, S. C.    Re: Fred L. Hiers, vs. John  H. McCray, et. al.    De ar Mr. Boulware:    There is still due and unpaid a  balance of $150.00 for legal services rendered in  connection with the above matter and I am afraid I  must insist that it be paid. I would hate to have to  bring legal action against the Individuals for the  collection thereof but if such be necessary that is  the only course lawyers have to protect themselves in  such cases.    Yours very truly,"
3686.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3686","Letter to Dr. Peter C. Kelly from John Henry McCray, May 13, 1944","A letter to Dr. Peter C. Kelly from John H. McCray sent on May 13, 1944.",1944.0,"13 Uuy 1944    Dr, Peter C, Kelly    Box 98    Conway,3,C.    Dear Dr, Kellyt    As you Bay know by this time 1 am acting a chairman of  the Progressive -Democratic Party, recently organized to comba the  refusal of the state Democratic Party to permit our people into  membership, ana committed to the most dramatic action in this connection  ever to be seen in the South,    The party wilx hold its state convention May 24 in the  Masonic Temple, 1125 Washington street, Columbia, beginning at noon of  that date. In cheeking the lists I do not find any kind of delegation  listed as Cron Horry County and I think it would be most unfortunate  that this convention be held, a permanent organization set up and  Horry County not being represented at the proceedings. A del gation  to the Chicago convention will also be selected at this meeting and  disposition partially made of candidates for the November ticket,    While I doubt whether you will find time yours- If to  attend the convention I am sure you might b&lt;-, able to s e to it that  some representation comes from Horry County. Such representation iaay  Include one or more persons who represent an organization or who are  just re idonts of the county. In the latter case, they would be gxven  delegate status by the convention.    It might interest you to know that Thursday night, at their  meeting in Union,D.C,, at which I had the honor to deliver an address,  the Piedmont Section f the state medical association voted unanimously  and without request, its endorsement of the Progressive Democratic Party  and also saw to it that a total of $73,50 was turned ever to it with  which to carry on the work. The Negro Citizens* Committee has given its  endorsement and is just now preparing a public statement to t. is effect.  Other endorsements are too numerous to ention.    ould you be good enough to inform tie by the we k-end as  to whether or not Hoory County will have a delegation?    Sincerely yours,    JHMcC/DE John H. McCray"
3689.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3689","Letter to John Oscar Floyd from John Henry McCray, October 3, 1944","A letter to John Oscar Floyd from John H. McCray sent on October 3, 1944.",1944.0,"October 5, 1944    John Oscar Floyd  Loris, South Carolina    Dear Mr. Floyd,    Because of scheduled arrangements it is impossible  to meet with you October 4th as suggested in your  letter of September 29, 1944. However I will be glad  to attend a meeting in Horry county, Wednesday evening  October 11th and attend to the business mentioned  by you.    Will you be good enough to let me know whether  or not this date is acceptable and what city, time and  place this meeting will be held.    Very truly yours.    John H. McCray    State Chairman    Ihmot tl"
3691.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3691","Letter to Mr. John O. Floyd from John Henry McCray, October 7, 1944","A letter to Mr. John O. Floyd from John H. McCray sent on October 7, 1944.",1944.0,"October 7, 1944    Mr* John 0. Floyd  Loris, South Carolina    Dear Mr. Floyd,    Thank youfor your letter of October 6th instruc  ting me where to stop in Conway Wednesday evening,  I am inclined to believe however that your meeting  should not start Be earlier than 8100 P.M. However  I shall try to be there by 6130*    . I would suggest that a strenuous effort be  made before that time to have as many persons as  possible present. Personally, I am looking forward  to the biggest meeting over held in your Congressional  District.    Sincerely yours,    jhmcItlo    John H. McCray    State Chairman"
3905.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3905","Letter to Mr. John Henry McCray from J. B. Drake, May 11, 1945","A letter to Mr. John H. McCray from J. B. Drake sent on May 11, 1945.",1945.0,"Box 33S    Bennettsville, S. C.    May 11, 19M-5    My. John H. McCray    1022| Washington Street  Columbia, Soutn Carolina    Dear Mr. McCray:    I have just received a letter from Mr. Marsden Cabell,  Publicity Director of the National Council of Negro  Democrats requesting tnat I contact twenty of the Negro  Leaders in Soutn c rolina for the purpose of having them  wire or write President Truman, urging him to appoint  Senator Harley M. Kilgore to tne Office of Secretary of  Labor.    Tne National office has been authentically informed tnat  nis appointment is being considered. The National office  approves nis appintment, because of nis liberalism and  fairness to our people, therefore, any assistance we can  render warrants our wholehearted support. I want to ask  that you wire or write President Truman at once urging  tne appointment of Senator Kilgore. Dive tnis matter  your immediate attention, and sene, me a copy of your  let er or telegram. I nave wired President Truman.    Awaiting your immediate reply, I am    Corqially_yours, '    yours    Dyake    JBd:emk"
3910.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3910","Letter to Mr. Harold T. Blackman from A. J. Clement, Jr., July 1, 1948","A letter to Mr. Harold T. Blackman from A. J. Clement, Jr. sent on July 1, 1948.",1948.0,"Sta. rtA"" Box 36  Charleston, S, C,    July 1, 1948    Mr, Harold T, Blackman    P. 0. Box 391    Bennettsville, South Carolina    Dear Mr, Blackman1    We certainly are looking forward to Marlboro County  coming through 100% on its full quota. We believe  you have observed that the entire State is quite  excited about what is going to happen where Negro  participation is concerned in the Democratic Party  both in our State and at the Philadelphia Convention, ,  The officials of our Party are at Beaufort tonight in  an effort to keep the regular Democrats from removing  from the enrollment books the thirty-two Negroes that  have enrolled there. All of these fights in all of  these Counties naturally entail a volume of expenses  and we have to depend upon all of our Counties doing  their share.    We are therefore advising our State Treasurer that your  remittance will be In around July 7,    Certainly we will be happy to serve you in any manner that  you may request after the National Convention, We shall  look forward to hearing from you.    Very truly yours,    A, J, Clement, Jr,    AJC/AKR"
3976.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3976","Letter to Mr. McCray from E. E. Gaulden, May 22, 1944","A letter to Mr. McCray from E. E. Gaulden sent on May 22, 1944.",1944.0,"1505 Vincent St  May 22,1944  Newberry S.C    Dear Mr HcCray:    Your letter of a few days ago was received,and I am glad to report to  you that we have already organized a Progressive Democratic Part in our  city.We started out with sixty members and they are joining every week.    The officers of our Part are as Allows:Rev.B.F.Sumter Pres;Rev.P.Wallace  l.Vice PresjRev.H.P.Clark Jr 2.Vice.Pres;Rev.E.E.Gaulden Sect;Mr.Fred Pratt  Treasurer.    We are also members of The N.A.A.C.P,and here at home we are know as  ""The Fellowship Club?    Our next meeting will be held next Saturday at The Bethlehem Baptist  Church of which I am pastor;the time is 2 P.M.We are invinting Rev Renton  up to speak to us and we would like for you to come to if possible.    We are sending a large delegation down to your meeting Wednesday coming  look for us.Newberry is with you one hundred percent.    -    ETE.Garilden Sect,    P.S.Please tell Rev.Renton that we  Saturday at 2 P.M    are looking for him up here next"
3977.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3977","Letter to Mr. McCray from E. E. Gaulden, June 6, 1944","A letter to Mr. McCray from E. E. Gaulden sent on June 6, 1944.",1944.0,"1505 Vincent St  June 6,1944  Newberry S.0    Dear Mr McCray:    I am glad to report to you that on May 28,Newberry raised the amount  of $52:00 dollars to help in sending our delegates to the convention in  Chicago,and Saturday June 10,we hope to raise the other amount,and mondyy  June 12,we will mail you the sum of $100:00 dollars.    Mr Chairman we are wide awake up here,and we want you to tell the world  about it.Our people are calling with great Interest toward this worthy  cause."
3980.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3980","Letter to Mr. McCray from B. E. Sumter and E. E. Gaulden, October 4, 1944","A letter to Mr. McCray from B. E. Sumter and E. E. Gaulden sent on October 4, 1944.",1944.0,"1505 Vincent St    October 4,1944  Newberry S.C    Dear Mr McCray:    According to the statement mention in your letter,it would be  better for us to use the same ticket as that of the White Democratic  Party.    We therefore ask that you use the same ticket as that of the  White Democratic Part.    Yours truly,    9"
3984.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3984","Letter to Mr. Clement Reeder from John Henry McCray, October 1, 1947","A letter to Mr. Clement Reeder from John H. McCray sent on October 1, 1947.",1947.0,"October 1,1947    Mr, Clement Reeder  Route Two Box 202  Newberry, South Carolina    Dear Mr, Reeder :    Following through on the promise I made you at    Whitmire Sunday, I find that I can attend a meeting In the section  we talked about on either the second or third Sunday in October.    The dates are either Oct. 12 or oct. 19.    In order that this matter can be settled I would    appreciate hearing from you as to which date you will use, If  any at all,    With kindest wishes for your continued success,    ' Sincerely yours,    John H. McCray"
3986.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3986","Letter to Mr. John Henry McCray from E. E. Gaulden, June 25, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on June 25, 1948.",1948.0,"606 Caldwell St    Newberry S.0  June 25,1948    Mr John H.MeCray  1022^ Washington St  Columbia S.C    Dear Mr McCray:    We the members of the P.D.P of Newberry are sending to you the president  of said party the sum of $50:00 dollars.We only wish that we could send more.    As you know we lost Rev P.Wallace the president of our NAACP,who was also  a part of this organization,but inspite of that we are indevering to carry on"
3997.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3997","Letter to Mr. John Henry McCray from E. E. Gaulden, August 26, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on August 26, 1948.",1948.0,"606 Caldwell St  Newberry S.C  Ayghst 26,1948    Mr John H.McCray    1022^ Washington St    Columbia S .C    Dear Mr McCray:    I recieved your returned letter,and I am glad to say that RevH.W.Gilliam  paid one-dollar,and please mention it in your next paper.    I am sending another name;Elder Nance Helena S.C    There &lt; 11 be more money coming in from Newberry after Sunday.    Enclosed $2:00 dollars.    Mr McCray We want you and Mr Hinton in Newberry about the second  Sunday in October in a mass meeting,as we are working hard to keep our  people looking upward.    E"
3998.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3998","Letter to Mr. John Henry McCray from E. E. Gaulden, August 30, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on August 30, 1948.",1948.0,"606 Caldwell St  Newberry S .C  August 30,1948    Mr John H.McCray    1022^ Washington St    Columbia S.C    Dear Mr McCray:    We are sending you some more names and money on the Truman Drive,thia  is not the last report;other reports will be coming in to your office  shortly.    The names of those who gave will be found on the other page."
3999.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3999","Letter to Mr. John Henry McCray from E. E. Gaulden, September 20, 1948","A letter to Mr. John H. McCray from E. E. Gaulden sent on September 20, 1948.",1948.0,"606 Caldwell St  Newberry S.C  Sept 20,1948    Mr John H.McCray    1022^ Washington St    Columbia S.C    Dear Mr McCray:    I hope that your trip in Saluda Sunday was a successful one,as we are  in need of more workers in this progressive movement.    Mr McCray I would like for you to check over your list of doners in  thr Truman Drive and see if you overlooked the last list that was sent from  Newberry by Mrs Pratt .She was telling me about it on yesterday and I thought  that I would call your attention to it.    Those who give looks for their names to be in the paper along with  the others.    Thank you so much for your consideration in this matter."
4017.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4017","Letter to Mr. J. L. Morgan from John Henry McCray, September 24, 1945","A letter to Mr. J. L. Morgan from John H. McCray sent on September 24, 1945.",1945.0,"September 24,1945    Mr. J.L. Morgan  Box 26    Mullins,S,C.    Dear Mr. Morgan:    Our legal action committee has authorized me  to prepare through the county organization for Marlon, a case  against the Board of Registration, data for the action to  be gathered on October 1, 1945, which Is Monday coming and the  date provided by law for registration during that month.    The committee decided upon the action after  studying at length a number of statements from your county  which have been referred to It dealing with divers schemes  employed, or apparently employed, by the Board at Marlon for  the sole purpose of abridging the rights of Negroes to qualify  and to prepare for voting as are outlined in both the federal  and state constitutions.    Among the complaints in this office are those  alleging that Board members deliberately absent themselves  when Negroes appear or as if forewarned by a sentry, avoid  Negro applicants.    We are ready to move off on this scheme used  against us. Merlon county has been selected as the testing  ground. As county chairman, together with our secretary, Mr.  George H, Chismf you are requested to take as many persons to  Marlon as posslole, and have your various precinct leaders In  all sections of the county do likewise. You are further requested  to have put Into affadavlt form within 48 hours of October 1  Individual cases of Irregularities.    You of course know that state law offers reglstrat  Ion to all citizens 21 years of age or over who own and have paid  all collectible taxes on $300 or more worth of real estate or, an  to those who lacking the real estate qualification can both read  and write any section of the state constitution of 1895 the offic  might submit. Any action beyond these provisions are violations.    Very truly yours,    JHMcC:MLG , John H. McCray,    STATE CHAIRMAN"
4022.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4022","Letter to Mr. George Henry Chism from John Henry McCray, August 7, 1945","A letter to Mr. George H. Chism from John H. McCray sent on August 7, 1945.",1945.0,"August 7,    1945    Mr. George H. Chism    305 Church Street  Mullins, S. C.    Desr Mr, Chism:    Under separate cover we are sending two  copies of the State Constitution and other  information which might be helpful ip developing  a live wire PDP for Marlon County.    In line with our discussion in Florence  &lt;n June 4th, I am looking forward to big things  you as the driving force in Marion County. We  are hoping that a public meeting In Interest  of the PDP will be held soon.    Pledging you fullest support and cooperation    I am    Sincerely yours,    John H. McCray    JHMcCidab"
4033.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4033","Letter to the Honorable Earle R. Ellerbe from John Henry McCray, November 10, 1945","A letter to the Honorable Earle R. Ellerbe from John H. McCray sent on November 10, 1945.",1945.0,"November 10,1945    The Honorable Eerie R. Ellerbe  State Senator Marion County  Marion,8.C.    Dear Sir:    I wish again to call to your attention certain  irregularities surrounding the registration board in  Marion county, having first done so a little over one  month ago.    During registration hours on Monday, Nov. 5,1945,  about one hundred and sixty-two (16*0 colored citizens in  Marlon county presented themselves at the county courthouse,  before the Hone able F.M. Boatwright, reported to be the  Registration Board chairman, and another unnamed man. It is  believed that the names and addresses of these people are  in the possession of the two men*    rhe first applying person was compelled to read the  entire State Constitution and afterwards ""interpret"" it. At  his protest the same was not requested of all successive  applicants.    The Registration officer (chairman) is reported by  numerous persons under oath to have ignored tax receipts of  persons who, un'er the state constitution, are entitled to  voting certificates without the literacy test, being told they  ""mean nothing*.    We are striving earnestly to avoid unnecessary actions  to have the State and Federal Constitutions observed in the  process of registration in Harion county and appeal to you  finally to such action as may be hecersary to Insure proper  and due processes in this respect.    CC: Mr. jo a twr igh t    Very truly yours,    John H. McCray"
4039.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4039","Letter to Mr. James M. Hinton from Theron L. Caudle, January 5, 1946","A letter to Mr. James M. Hinton from Theron L. Caudle sent on January 5, 1946.",1946.0,"copy    TLC:TLS:esw  72-67-0    DEPARTMENT of justice    ashington 25,D.C.    January 5,1946    Mr. James M. Hinton, President    South Carolina State Conference of NAACP  P.O. Box 1145, Columbia, South Carolina    Dear Hr. Hinton:    This acknowledges your letter of December 21,  1945, concerning the refusal of election officials in  Marion County, South Caroline, to permit Negroes to  register for voting. This matter will have my immediate  attention.    Your letter states that you will be glad to  furnish affidavits concerning the circumstances, end I  will appreciate receiving detailed information in  affidavit form.    Respectfully,    For the Attorney General  (signature)    Theron L, caudle  Assistant Attorney General"
4069.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4069","Letter to Mr. Julian Morgan from John Henry McCray, July 8, 1948","A letter to Mr. Julian Morgan from John H. McCray sent on July 8, 1948.",1948.0,"July 8, 1948    Mr* Julian Morgan    P. 0* Box 26    Mullins, 8* C.    Dear Mr* Morgans    This acknowledges receipt of one hundred dollars*  (1100*30) foan Progressive Democrats in Marion  County*    This money is being turned over to state treasurer  J* C* Artanus vho will issue an official receipt* and  will be ewedited against the 1948 assessment of  Marion County.    We are making good progress and suggest to you to  continue raising money which can beused in your own  area or elsewhere in the state to finish the battle*    Sincerely yours.    John H* McCray    JHMoC/dd"
4076.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4076","Letter to Mr. Julien Morgan from John Henry McCray, September 14, 1948","A letter to Mr. Julien from John H. McCray sent on September 14, 1948.",1948.0,"September 14, ^W8    Mr. Julien Morgan  P. 0. Box 26  Mullins, S, C.    Dear Mr. Morgan:    This Is to acknowledge end thank you for your very  fine support for the Re-elect Truman Caapel n, end  the amount of 1250.00 from Marion County.    We are very pleased to receive this report, however,  we note a discrepancy of $20.00 In the breakdown of  Precincts, which totals f270.00, while the money  orders are for $250.00. Please let us hear from you  concerning this so that we can give Marion County  the proper credit.    Again, thank you, end we hope that you In your county  will continue to work until the end of the Campaign.    Sincerely yours,    John H, McCray  State Director    JHMcC/dd"
4080.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4080","Letter to Mr. J. Henry McCray from M. A. Morgan, October 2, 1948","A letter to Mr. John H. McCray from M. A. Morgan sent on October 2, 1948.",1948.0,"Box 26    Mullins, S.C.    Oct. 2,1948    Mr.J.H. McCray    I022J Washington St.    $ -    Columbia, S.C.    Dear Mr. McCray:    I have received $18.00 from the Progressive Club  of Aiken. A.D. Smith, Box 49, Aiken, S.C.    We would like for you to give the amount of money  raised by Marion County in the Truman drive and also the  names of those who contributed in the next issue of your  paper. I thought we did extremely well.    Sincerely,    M.A. Morgan            f $ *  y&lt;% *"
4083.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4083","Letter to Reverand J. E. Grice from John Henry McCray, October 15, 1948","A letter to Reverand J. E. Grice from John H. McCray sent on October 15, 1948.",1948.0,"October 15, 194S    Rev. J. E. grice    Route 3, Box 77  Marion, South Carolina    Dear Rev. Grice:    This acknowledges receipt of your letter and dollar for  the Campaign to Re-elect President Truman.    We thank you very much, and are glad to know we can  count on your vote on November 2.    Sincerely yours,    JHMcC/dd    John H. &lt;4cCray    State Director"
4173.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4173","Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948.0,"R3-ELECT TRUmAN COLmITTEE    John H. McCray, Director  1022| Washington Street  Columbia, South Carolina    Sidney S. Toom, Field Chairn  Orangeburg County    R. 0. D. 1, Box 81,  Orangeburg, South Carolina    August 19, 1948    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount listed, as their contribution to the National Campaign to  re-elect Truman."
