"SSID","Filename","Tags","Title","Title Confidence","Creator","Creator Confidence","Volume","Volume Confidence","Issue","Issue Confidence","Date","Date Confidence","Language","Language Confidence","Description","Description Confidence","Subject","Subject Confidence","Type","Type Confidence","Coverage","Coverage Confidence","Format","Format Confidence","Publisher","Publisher Confidence","Medium","Medium Confidence","Technique","Technique Confidence","Material","Material Confidence","Measurements","Measurements Confidence","Style","Style Confidence","Culture","Culture Confidence","Period","Period Confidence","Location","Location Confidence","Named Entities","Named Entities Confidence","Keywords","Keywords Confidence","Resource Type","Resource Type Confidence","Transcript"
"42005792","S108082_LibertyHillAME_-1.jpg","AI Generated","Statements by Annie Gibson and Harry Briggs on the 'Separate but Equal' Petition","high","Annie Gibson | Harry Briggs","high","","","","","1984-11-13","high","English","high","Statements by Annie Gibson and Harry Briggs recounting their experiences signing the 'Separate but Equal' petition in Summerton, South Carolina. Both describe the social and economic repercussions they faced, including job loss and community pressure, after supporting a petition demanding equal educational rights for Black children in Clarendon County. The statements provide personal perspectives on local activism and the challenges encountered during the struggle for civil rights.","medium","Civil rights | Racial justice in education | Civil rights movements | Right to education | Social justice and education | Unemployment | Witnesses","","Statement","low","style: prose | culture: American | period: 20th century | location: Summerton, South Carolina","","medium: paper | technique: typed | material: paper | measurements: 2 pages","","","","paper","high","typed","high","paper","low","2 pages","high","prose","medium","American","high","20th century","high","Summerton, South Carolina","high","Annie Gibson | Harry Briggs | Eliza Briggs | Scott's Branch High | Scott's Branch Elem. | Liberty Hill A.M.E. Church | Summerton | Clarendon County | South Carolina | Board of Trustees of the School Board of School District #22","medium","civil rights | Summerton | South Carolina | petition | educational equality | job loss | Clarendon County | Black community | testimony","medium","Images","","GIBSON , ANNIE Born: June 16, 1911 Age: 73 Education: High School Education Scott's Branch High Occupation: Early years: Maid at local Motel and Dietitian in School System Presently: Retired Statement About 120 or more blacks signed the petition ""Separate but Equal"" in the home of Harry and Eliza Briggs of Summerton, South Carolina. After much pressure from the white citizens and blacks of the county, many blacks had their names removed from the petition leaving only the twenty earlier signee. However, more names were gotten at meeting held at Liberty Hill A.M.E. Church on Jack Creek, Summerton. I was fired from my job as a maid at one of the local motels of Summerton and later had to move from the house that I was renting with my family. These were hard years, but as I look back over them -- they served a good purpose and I'm glad. Respectfully submitted, Annie Gibson Annie Gibson Phoenicia B. Flowers Witness Roosevelt Mouzo Witness November 13, 1984 Date BRIGGS, HARRY Born: August 22, 1913 Age: 71 Education: 5th Grade Scott's Branch Elem. Occupation: Early Years: Service Station Attendant Presently: Retired Statement My troubles began in 1949, when I signed a petition with about 120 other black citizens of Summerton. The petition was addressed to the Board of Trustees of the School Board of School District #22, of Clarendon County, South Carolina. It asked that the town's black children be given educational rights and facilities equal to those enjoyed by Summerton's white students. Such a protest by black people was unprecedented in South Carolina, and Summerton's white citizens were outraged. They were outraged that I was one of the petitioners and so I was fired from my job working as a Service Station Attendant where I came in contact with the white's each day. When I signed the petition, I was thirty-two (32) years old with a wife and four (4) children. So after being fired, I was forced to leave home to make a living for my family. Respectfully submitted, Harry Briggs Harry Briggs Phoenicia B. Flowers Witness Roosevelt Mouzg Witness November 13, 1984 Date"
"42003056","L14182_10_01_1947.jpg","AI Generated","Letter from Levi Pearson to Vander Stukes regarding school bus transportation for African American children","high","Levi Pearson","high","","","","","1947-10-01","high","English","high","Letter from Levi Pearson to Mr. Vander Stukes, Chairman of the Board of Trustees for School District #26 in Clarendon County, South Carolina, inquiring about the lack of response to a petition sent on July 28, 1947, requesting school bus transportation for African American children in the district. The letter asks for an update on efforts to provide this transportation. A handwritten note at the bottom appears to be a reply from E.J. Stukes, indicating that the complaint will be addressed at a school outlook meeting.","high","Segregation in transportation | African American school children | School boards | Civil rights | Correspondence | School buses | Petitions","","Letter","high","style: Formal correspondence | culture: American | period: Mid-20th century | location: Manning, South Carolina","","medium: Paper | technique: Typed and handwritten | material: Ink on paper | measurements: 1 page","","","","Paper","high","Typed and handwritten","medium","Ink on paper","medium","1 page","medium","Formal correspondence","low","American","high","Mid-20th century","medium","Manning, South Carolina","high","Levi Pearson | Vander Stukes | E.J. Stukes | Clarendon County | Manning | School District #26","medium","School segregation | School transportation | African American education | Clarendon County | Petition | Civil rights | School board correspondence","high","Images","","Route 5 Box Manning, South Carolina October 1, 1947 Mr. Vander Stukes, Chairman Board of Trustees, School District #26 Clarendon County Davis Station, South Carolina Dear Sir: On 28 July 1947, a Petition on behalf of my children and all other school children in School District #26, Clarendon County, South Carolina, was mailed to you, since that date I have had no communication from you with regard to this petition nor has any efforts been made to furnish bus transportation to Negroes in this School District. Please advise me if efforts are being made to furnish school bus transportation. Very truly yours, Levi Pearson Levi Pearson Mr Levi Pearson manning SC Dear Levi replying to yours of 1st Inst. The trustees of Davis Station school district will hear your complaint on October 10th Friday - at 5 30 P.M. Please be present with all Yours very truly EG Stukes Chairman Davis Station School board of trustees"
"42005791","S547018_Box1_Telegram_17May1954.jpg","AI Generated","Western Union Day Letter to Honorable James R. Coker Quoting Governor Byrnes on Supreme Court Decision, May 17, 1954","high","Cassie Connor","medium","","","","","1954-05-17","high","English","high","A Western Union day letter sent from Columbia, South Carolina, on May 17, 1954, addressed to Honorable James R. Coker in Hartsville, South Carolina. The letter, signed by Miss Cassie Connor, Secretary, quotes a statement by Governor Byrnes regarding the United States Supreme Court's decision reversing the doctrine of 'separate but equal' school facilities. The letter discusses the implications of the decision for South Carolina schools, urges restraint and order among the public, and notes that further recommendations to the legislature will be made after a full review of the Supreme Court's decree. It also references upcoming discussions with Senator Gressette and a committee studying the issue.","medium","Brown v. Board of Education of Topeka | School integration | Civil rights | Segregation in education | Educational law and legislation | Nineteen fifties | South Carolina State House (Columbia, S.C.)","","Telegram","high","style: Correspondence | culture: American | period: Mid 20th century | location: Columbia, South Carolina","","medium: Paper | technique: Typed | material: Telegraph form and ink | measurements: 1 page","","Western Union","high","Paper","medium","Typed","high","Telegraph form and ink","medium","1 page","low","Correspondence","medium","American","high","Mid 20th century","high","Columbia, South Carolina","high","James R. Coker | Governor Byrnes | Cassie Connor | Senator Gressette | Supreme Court | South Carolina Legislature | Western Union | Clarendon","medium","Supreme Court decision | School desegregation | Brown v. Board of Education | South Carolina | Governor Byrnes | Education policy | Civil rights | 1950s","high","Images","","Charge to the account of ____________ $ ____________ WESTERN UNION JOSEPH L. EGAN PRESIDENT 1211 CHECK ACCOUNTING INFORMATION TIME FILED Educ don Co LONG DAY LETTER GV2, COLUMBIA, SOUTH CAROLINA, MAY 17, 1954 HONORABLE JAMES R. COKER, HARTSVILLE, SOUTH CAROLINA IN ACCORDANCE WITH YOUR REQUEST I QUOTE STATEMENT ISSUED TODAY BY GOVERNOR BYRNES: "" TIME AND AGAIN SUPREME COURT HAS HELD THE DOCTRINE OF SEPARATE BUT EQUAL SCHOOL FACILITIES NOT VIOLATIVE OF THE CONSTITUTION. AM SHOCKED TO LEARN COURT HAS REVERSED ITSELF. I WILL MAKE NO FURTHER COMMENT UNTIL I HAVE HAD AN OPPORTUNITY TO READ AND STUDY IT. NEWS REPORTS INDICATE NO DECREE HAS BEEN HANDED DOWN BY THE COURT IN CLARENDON CASE THAT WOULD IMMEDIATELY FORCE APPROXIMATELY 295 WHITE CHILDREN OF THAT SCHOOL DISTRICT TO ATTEND THE NEGRO SCHOOLS WITH APPROXIMATELY 2,799 NEGRO CHILDREN. THE FIRST REPORTS INDICATE COURT WILL FIRST HEAR ARGUMENT AT OCTOBER TERM AS TO THE LANGUAGE OF THE DECREE. WE MUST AWAIT FINAL DECREE THE SUPREME COURT AND I EARNESTLY URGE ALL OF OUR PEOPLE, WHITE AND COLORED TO EXERCISE RESTRAINT AND PRESERVE ORDER. I HAVE ALWAYS STATED THAT WHAT COURSE SOUTH CAROLINA WOULD FOLLOW IN CASE OF AN ADVERSE DECISION WAS A QUESTION WHICH ONLY THE LEGISLATURE COULD DECIDE. WHAT RECOMMENDATION I WOULD MAKE TO THE LEGISLATURE I WOULD DECIDE ONLY AFTER I HAVE HAD OPPORTUNITY TO STUDY THE DECREE OF SUPREME COURT. THIS AFTERNOON I WILL CONFER WITH SENATOR GRESSETTE, CHAIRMAN OF THE COMMITTEE APPOINTED THREE YEARS AGO TO STUDY THIS QUESTION, WHICH COMMITTEE HERETOFORE AT MY REQUEST HAS HELD NO PUBLIC HEARINGS"" SIGNED MISS CASSIE CONNOR, SECRETARY"
"42004602","L14182Bx03#21-CitizensCouncilLetter_-1.jpg","AI Generated","Correspondence and materials concerning voter registration and resistance to integration in South Carolina, February 1958","low","Rogers, S. E. | Congress of Racial Equality","high","","","","","1958-02","high","English","high","A set of four documents from February 1958 relating to voter registration and political resistance to integration in South Carolina. Includes a typed letter from S. E. Rogers to L. B. McCord of the Citizens' Council, discussing the enclosed resolution and a copy of the CORE-LATOR newsletter. The resolution expresses opposition to federal government intervention and civil rights organizations, urging South Carolina Democrats to defend state sovereignty. The CORE-LATOR newsletter documents the activities of the Congress of Racial Equality (CORE), including registration campaigns for African Americans in South Carolina, planning and instruction sessions, and the challenges faced in registering Black voters in the region.","medium","Voter registration | Civil rights | Political rights | South Carolina State House (Columbia, S.C.) | White Citizens councils | Political participation","","Correspondence","high","style: documentary | culture: American | period: mid-20th century | location: South Carolina, United States","","medium: typed letter, printed newsletter | technique: typewriting and offset printing | material: ink on paper | measurements: Unknown","","Congress of Racial Equality","high","typed letter, printed newsletter","low","typewriting and offset printing","medium","ink on paper","high","Unknown","high","documentary","low","American","high","mid-20th century","medium","South Carolina, United States","high","S. E. Rogers | L. B. McCord | Citizens' Council | Congress of Racial Equality | Sumter CORE Registration Committee | James T. McCain | Rev. H. P. Sharper | Rev. Donald Rice | J. H. Nelson | Rev. Edward Frey | Paul Butler | NAACP | ADA | Democratic Party | South Carolina Democrats | Williamsburg County | Sumter | Clarendon | Richland | Columbia","medium","voter registration | CORE-LATOR | Congress of Racial Equality | South Carolina | Citizens' Council | African American suffrage | political resistance | segregation | Democratic Party | civil rights | integration | Sumter | Clarendon | Williamsburg","high","Images","","LAW OFFICES S. E. ROGERS SUMMERTON, S. C. February 21, 1958 Mr. L. B. McCord Citizens' Council Manning, South Carolina Dear Mr. McCord: I am enclosing herewith a copy of the Resolution which will be offered in many precincts meetings in South Carolina. I am also enclosing herewith a copy of the CORE-LATOR showing the registering campaign in South Carolina. Notice that they claim great success in Sumter and that they are making a concertede drive in Clarendon and Williamsburg. I would like to have this back when you are through with it. I feel that the Citizens' Councils should pay more attention to ascertaining that only qualified applicants are registered and that the local councils should know exactly what Negroes are applying and reapplying under the CORE program. Very truly yours, S. E. Rogers SER:jh Enc. RESOLUTION Whereas, the National Democratic Party under the leadership of Chairman Paul Butler and persons of like caliber has constantly berated and threatened the South in order to curry favor with the NAACP, ADA, and similar self-service organizations, and Whereas, we, the South Carolina Democrats, feel that due to the constant pressure and propoganda applied by minority groups, the Federal Goverment under the leadership of both major political parties has, through its Courts and other Agencies, relentlessly and steadily encroached upon the rights of the sovereign states and their citizens, and that if continued to go unchecked and unchallenged, poses a real and grave danger to the very existence of constitutional goverment, and Whereas, we, the South Carolina Democrats, feel that we along with the other Southern States constitute the last great stronghold of consitutional goverment. NOW, THEREFORE, BE IT RESOLVED: 1. That we, the South Carolina Democrats now assembled, do publicly declare our determination to maintain the overeignty of our State and to protect the rights and privileges of all its citizens guaranteed to them under the Constitution of the United States, and 2. That we will fight the selection, nomination and election of any individual or individuals who would infringe upon these rights, orwho would attack our time-honored traditions and institutions, regardless of the banner under which he or they might parade. 3. That delegates from this precinct to the County Convention are instructed to support this or a similar resolution in the County Convention. ployment for Negroes As a result of CORE action, employment of Negroes is assured in four supermarkets. Following a conference between CORE representatives and the personnel of Kropp's has agreed to hire some Negroes in all capacities at its new street now under construction. The CORE spokesmen pointed out that because of the store's location, much of its patronage will come from the Negro. Following 10 days of picketing, an A & P supermarket has agreed to hire Negro meat cutters, truck drivers and more clerks immediately and to consider Negro office workers in the near future. CORE members cooperated with the UP in maintaining the picket line. Survey to Prepare For Stepped-Up Integration NASHVILLE, Tenn. In anticipation of the Mayor's integration of the remaining grades, members of the Fisk University student Sociology Club work with CORE on a survey of Negro children in areas of Nashville affected by desegregation. The survey is aimed at locating the children who live in areas that will be integrated in Nashville's next step. Since desegregation is still uncertain, CORE and the Sociology Club members feel, however, that it is important to begin contacts with these families early, so that there will be follow-up work on the part of community groups. At present, the survey will be made in two neighborhoods, which are being considered intensively—one in North Nashville and the other in South Nashville. The School board had announced the enrollment of Negro first graders at nearby ""white"" schools in these areas last fall, but none registered. The areas have sizeable Negro populations and children received much abuse from community groups last fall. CORE members participated in the registration rush as volunteer guards and as observers at school. LITERATURE NEW THIS IS CORE (replacing WHAT IS CORE), a colorful pamphlet detailing CORE techniques, structure and organization. 10¢ CORE RULES FOR ACTION (replacing CORE ACTION DISCIPLINE), a colorful pamphlet detailing CORE methodology. 10¢ On quantity orders: 5 copies for 25¢, 100 copies for $2.50, 1000 copies for $20. OTHER OUR STRUGGLE, story of the Montgomery bus protest, by Rev. Martin Luther King (reprinted from LIBERATION). 20¢ PICTURE STORY OF A CORE PROJECT. 5¢ IT CAN HAPPEN IN MISSOURI, story of St. Louis CORE's successful campaign against discrimination. free Literature marked free costs 2¢ in quantities over 10. On priced literature, there is a reduction on quantity orders. I enclose $_____ for literature (specify which) I enclose $_____ for general contribution to help your work. Name ______________________________ Address ____________________________ CORE-LATOR Published by the CONGRESS OF RACIAL EQUALITY, 38 Park Row, New York 38 A National Federation of local interracial groups working to abolish racial discrimination by direct nonviolent methods James R. Robinson, executive secretary James T. McCain, field secretary Jim Peck, editor FEBRUARY—BROTHERHOOD MONTH—1958 No. 72 Sumter CORE Registration Committee in Action . . . . . . A Planning Session Left to right: Rev. H. P. Sharper, Rev. Donald Rice, Rev. J. H. Nelson, James T. McCain (CORE national field secretary) and Rev. Edward Frazier. Similar committees to mobilize Negro registration have been set up by McCain in three counties. Rev. F. C. James, chairman of the Sumter county committee, is not in the picture (he took it). . . . An Instruction Session James T. McCain, national field secretary, instructs a group on how to fill out application blanks for registration. Following such sessions, he accompanies the people to registration offices and remains with them until they receive their certificates, which are required for voting. See story on page 2. Registration Campaign in South Carolina (see picture on page 1) SUMTER, S.C — Since the first of the year, James T. McCain, national CORE field secretary, has been organizing a registration campaign in an area of South Carolina where he has lived and worked for the major part of his life. Aim of the campaign is to translate the new Civil Rights bill into reality by getting Negroes to exercise their right to vote. The procedure followed by McCain is to establish in each county a committee which instructs persons on how to fill out application blanks, accompanies them to registration offices and remains with them until they receive their certificates for voting. These committees are called Committee on Registration Education (CORE). So far three such committees have been established—in Sumter county, where McCain’s home is located; Richland county, which includes the city of Columbia and Clarendon county, where the first school case originated. “Since the Sumter committee has been organized, several hundred persons who ordinarily would not have gotten registration certificates received them,” McCain reports. “Each day the registration office is open, a committee representative accompanies a group there. Applicants who fail to receive their certificate because of any error on the blank, are given further instruction by the committee and are taken back to the registration office to re-apply. At present over 50 volunteers are assisting the committee.” In Sumter county, registrars have not thus far resorted to using technicalities to bar Negroes from registering—a practice so widespread in the deep south. However, in Clarendon county, an applicant reported back to the CORE committee that she had been refused a certificate because she mispronounced the word “indict” in reading the state constitution. She plans to re-apply until she obtains the certificate. In Williamsburg county Negroes—some of them teachers and college graduates—have been summarily refused registration blanks because in the registrar’s opinion they could not read and write. McCain hopes to establish a CORE committee soon in this county. While a purpose of the newly-enacted election law was to discourage Negroes from exercising their voting rights, its effect has been to discourage whites. While Negroes, aided by the CORE committees, are making a point of registering, regardless of inconvenience, many whites are unwilling to spend the half-hour of time required for registration under the new law’s procedure. CORE is considering a summer workshop in some southern community combining instruction on non-violence with community action. Suggestions from CORElator leaders regarding location, dates, program, etc. will be welcome. ST. LOUIS—Wallet-sized cards listing all local eating places with “facilities open to all,” have been made available by St. Louis CORE following an intensive testing program. They can be obtained from Charles Oldham, 5110 Palm St. Louis 15, Mo. The Lucky 13th NEW YORK CITY—“Mohawk Airlines has made the 13th a good luck day,” is the heading on leaflets distributed on January 13 by New York CORE in front of the central airlines ticket office on New York’s 42nd St. The leaflet goes on to explain: “On January 13th Ruth C. Taylor, the first Negro stewardess on a scheduled domestic airline, begins training as a Mohawk stewardess.” The leaflet distribution—some 1500 were distributed over the lunch hour period—was the opening action of New York CORE’s campaign to break down the policy of discrimination in employment of flight crews, which prevails throughout the airlines industry. In addition to Ruth Taylor, the only Negroes employed aboard planes are a pilot for New York Airways, a local helicopter service, and two pilots on airfreight lines. Representatives of New York CORE have conferred with the chairman of the State Commission Against Discrimination, which has a number of airline cases pending, and with the personnel manager of TWA, which is in the process of considering a policy change. CORE’s campaign will continue, climaxing at a strategic time with a major demonstration. ST. LOUIS—Four skits, written and acted by CORE members and depicting highlights of St. Louis CORE’s anti-discrimination actions over the past 10 years, were presented Jan. 12. Featured speaker was Dr. Huston Smith of Washington University, who is a CORE member. Some 200 persons attended. Extensive Testing Program BALTIMORE—For its program, CORE has selected testing of eating, recreation, and other public facilities in this area with a view to initiating an effective project. With the assistance of religious and educational organizations, CORE has drawn up a list of some 200 establishments, some of which are known to integration, others that are known to discriminate openly, and others whose policies have not been determined. This list has been divided among five captains who each have a team to test and report back. Some of the teams are all-Negro, others are inter-racial; some include only men, others include men and women. Helen Brown is serving as project coordinator. Support of the project has been enthusiastic. The number of participants is much greater than the cooperation of the other interest organizations. Most recent places tested as the CORElator goes to press are Miller’s and Leon’s which serves Negroes only on take-out orders and White’s, a white-table-cloth restaurant. NASHVILLE, Tenn.—CORE encouraged attendance at the Fisk University Choir’s performance of The Messiah December 8, at Nashville’s War Memorial Auditorium. Seating for the performance was on an unsegregated basis and the Choir was composed of both white and Negro singers. Otis Pennington, a member of the CORE executive committee, sang in the integrated choir."
"42003092","L14182_CitizensCouncil_02.jpg","AI Generated","What Is The Citizens' Council?","high","","","","","","","","","English","high","Pamphlet outlining the purpose and organizational structure of the Citizens' Council, describing it as a modern version of a town meeting aimed at mobilizing public opinion and influencing policy. The text details the council's four basic committees: Information and Education, Political and Elections, Membership and Finance, and others, emphasizing their roles in addressing racial issues, influencing elections, recruiting members, and promoting segregationist viewpoints.","medium","White Citizens councils | Segregation | Citizen participation | Elections | Organization | Public opinion | Race relations","","Pamphlet","high","style: Prose | culture: American | period: Mid-20th Century | location: United States","","medium: Printed text | technique: Printed | material: Paper | measurements: 1 page","","","","Printed text","medium","Printed","medium","Paper","low","1 page","medium","Prose","high","American","high","Mid-20th Century","medium","United States","medium","Citizens' Council","low","Citizens' Council | segregation | public opinion | racial issues | elections | organizational structure","high","Images","","What Is The Citizens' Council? The Citizens' Council is the modern version of the old-time town meeting called to meet any crisis by expressing the will of the people. The right to peaceably assemble to petition for a redress of our grievances is guaranteed in the first one of our Bill of Rights in the Constitution of the United States of America. The only reliable prophet for the future is the past, and history proves that the Supreme Power in the government of men has always been Public Sentiment. The Citizens' Council simply provides the machinery for mobilizing, concerting and expressing public opinion. Our councils are independent groups located within the towns and counties of our state. The local officers are chairman, vice-chairman, secretary and treasurer. Each council has four basic committees, including: 1. Information and Education — This committee seeks information pertaining to racial problems from all over our nation. It presents to the people within its community the truth about the racial question, thereby nullifying the propaganda from alien influences and pressure groups. Its job is to convince all of our people of the advantages of segregation and the dangers of integration. 2. Political and Elections — This committee studies candidates for local and state elections and presents their qualifications to the voters. It attempts to get candidates to voice their opinion on vital subjects prior to election. It can reach each voter personally to present the truth on all matters to the people. It is our belief that an interested, informed people who vote intelligently is the only means we have of perpetuating our constitutional democracy. 3. Membership and Finance — This committee enlists all patriotic white citizens for membership, thus assuring your local organization of the support of public opin- [ 1 ]"
"42003091","L14182_12_07_1957.jpg","AI Generated; Reviewed","Letter from L. B. McCord to W. O. McIlveen regarding address to Citizens Council","high","L. B. McCord","high","","","","","1957-12-07","high","English","high","A letter from L. B. McCord, Superintendent of Education for Clarendon County, to Mr. W. O. McIlveen of Olanta, South Carolina. McCord responds to a request to address the Citizens Council in Olanta and expresses willingness to do so on either December 16 or 17, depending on the council's preference. McCord requests confirmation of the date, hour, and place for the address.","high","Correspondence | White Citizens councils | Education | Citizen participation | City councils","","Letter","high","style: Correspondence | culture: American | period: Mid-20th century | location: Clarendon County, South Carolina","","medium: Paper | technique: Typed | material: Ink on paper | measurements: N/A","","","","Paper","high","Typed","high","Ink on paper","low","","high","Correspondence","high","American","high","Mid-20th century","high","Clarendon County, South Carolina","high","L. B. McCord | W. O. McIlveen | Citizens Council | Clarendon County | Olanta, South Carolina","medium","Citizens Council | Clarendon County | Education | Correspondence | Public Address","high","Images","","December 7, 1957 Mr. W. O. McElveen Olanta, S. C. Dear Mr. McElveen: Yours just received asking me to address your Citizens Council in Olanta. I shall be very glad to do so, either on December 16 or 17, whichever suits your council best. Please advise me to date, hour, and place. Sincerely yours, L. B. McCord Supt. of Education Clarendon County LBM:blb"
"42003057","L14182_ExecComm1958.jpg","AI Generated; Reviewed","The Citizens Council Putting on Membership Drive","high","L. B. McCord","high","","","","","1957-11-29","high","English","high","Announcement from the Executive Committee of the Clarendon Citizens Council regarding the initiation of a membership campaign beginning November 29, 1957, and continuing through December 10, 1957. The document outlines plans to hold a council meeting to discuss the results and matters of interest, lists appointed committee members and their areas, and provides instructions for community members to join. The membership fee is stated as $2.00 for the year beginning October 1, 1957, and ending September 30, 1958. The letter encourages participation to reach a goal of 800 to 1000 members.","medium","Membership campaigns | Community organization | Committees | White Citizens councils | Citizen participation | Community leadership","","Announcement","medium","style: Prose | culture: American | period: Mid-20th Century | location: Clarendon County, South Carolina, United States","","medium: Paper | technique: Typed | material: Typewritten letter | measurements: N/A","","Clarendon Citizens Council","high","Paper","high","Typed","high","Typewritten letter","low","","high","Prose","high","American","high","Mid-20th Century","high","Clarendon County, South Carolina, United States","high","L. B. McCord | Clarendon Citizens Council | Ernest K. Mathis | George R. Jones | Ben J. Staton | J. C. Phillips | P. C. Johnson | Charlton McLeod","high","Membership Drive | Citizens Council | Clarendon | Community Organization | 1957 | Committee Members","high","Images","","THE CITIZENS COUNCIL PUTTING ON MEMBERSHIP DRIVE The Executive Committee of the Clarendon Citizens Council has put on a membership campaign beginning Friday, November 29th, and continuing thru Tuesday, Dec. 10th. It is our plan to have a meeting of the Council Tuesday night December 10th to receive the report of the membership committee and discuss matters of vital interest. A detailed announcement of this meeting will be made at a later date. The Executive Committee has appointed the membership committee as followers: Ernest K. Mathis, Chairman; George R. Jones, Alcolu; Ben J. Staton, Foreston; J. C. Phillips, Bloomville; P. C. Johnson, Wyboo and Jordan sections; Charlton McLeod, Paxville. These men will have receipt books at their homes or place of business. Please don't wait for these men to contact you, but contact the man in your community and join up, please. The membership fee is $2.00 for year beginning Oct. 1, 1957, ending Sept. 30, 1958. I assure you that its a fine constructive organization working for the best interest of all our people of both races. We hope to get on this drive from 800 to 1000 members. Don't stay on the outside and criticize, but join with us and help make the Citizens Council what it should be. L. B. McCord, Chairman Citizens Council"
"42003089","L14182_CitizensCouncil_05.jpg","AI Generated; Reviewed","","high","","","","","","","","high","","","The document image is almost entirely blank, with only faint, reversed impressions of text visible through the page. The content is not legible and no clear subject, author, or context can be determined from the supplied image.","low","","","","high","style: null | culture: null | period: null | location: null","","medium: null | technique: null | material: null | measurements: null","","","","","low","","high","","high","","low","","high","","high","","high","","high","","","","","Images","",""
"42003052","L14182_10_09_1957a.jpg","AI Generated; Reviewed","Letter from L. B. McCord to Converse College Student Regarding Segregation and Spirituality","low","L. B. McCord","high","","","","","undated","high","English","high","Letter from L. B. McCord addressing a student at Converse College. The letter discusses the concept of segregation, drawing analogies from nature and religious doctrine to argue for segregation as morally and spiritually justified. The author references biblical creation, the fall of man, and contrasts human intellect and spirituality with animal instinct. The letter concludes with best wishes for the student's academic year.","low","Segregation | Religion | Spirituality | Education, Higher | Segregation in education | Religion and culture | Religiousness","","Letter","high","style: Prose | culture: American | period: Mid 20th century | location: United States","","medium: Paper | technique: Typed | material: Typewritten letter | measurements: N/A","","","","Paper","high","Typed","high","Typewritten letter","low","","high","Prose","medium","American","high","Mid 20th century","medium","United States","high","L. B. McCord | Converse College","high","Segregation | Religion | Spirituality | Education | Converse College","high","Images","","Page 2 - continued On the other hand the birds of the air, the fish of the sea, and the animals of the field were created by God and he endowed them with instinct which is as perfect today as when He created them. They all practiced segregation and did not mix. So you see your professor as a spirit (a soul) endowed with intellect, sensibility and will which are attributes of the spirit are not so perfect as the instinct of birds, beast and fish. Thus he misjudges what God's will is in the matter. You see man fell in the garden and became a sinner. So the attributes of a spiritual being were twisted and warped having now a soul full of iniquity. Segregation is morally and spiritually right and is in the highest interest of society. Best wishes for a successful year at Converse. Sincerely yours, L. B. McCord LBM:blb"
"42003058","L14182_CitizensCouncil_04.jpg","AI Generated","How Will The Citizens' Councils Roll Back the Dark Cloud of Integration?","high","Association of Citizens' Councils","high","","","","","1954-11","high","English","high","Pamphlet issued by the Association of Citizens' Councils outlining strategies to mobilize white Americans against racial integration in Mississippi and the broader South. The text appeals to white racial solidarity, references historical grievances, and promotes the formation of Citizens' Councils to organize resistance to integration. It provides statistics on council membership and influence, describes efforts to amend the Mississippi State Constitution, and encourages the prevention of integration through legal and social means.","low","White supremacy movements | White Citizens councils | Segregation | Southern States | Race relations | Identity politics","","Pamphlet","high","style: Prose | culture: American | period: 1950s | location: Winona, Mississippi, United States","","medium: Printed text | technique: Printed | material: Paper | measurements: N/A","","Association of Citizens' Councils","high","Printed text","medium","Printed","medium","Paper","low","","medium","Prose","high","American","high","1950s","medium","Winona, Mississippi, United States","high","Association of Citizens' Councils | Mississippi | Alabama | Georgia | Winona","medium","Citizens' Councils | segregation | integration | Mississippi | white supremacy | racial politics | Southern United States","high","Images","","We are certainly not ashamed of our traditions, our conservative beliefs, nor our segregated way of life. How Will The Citizens’ Councils Roll Back the Dark Cloud of Integration? By organizing the white Americans who have pride in their white race and forethought for their posterity, by mobilizing public opinion. Edmund Burke, the great British statesman, said, “All that is necessary for the triumph of evil is that good men do nothing.” We must organize every town and county in our state and then every state in the South. Forty million white Southerners, or a fraction thereof, can be a power in this nation if properly organized and certainly need not fear the NAACP, with only 200,000 members. We need every patriotic white Southerner, rich or poor, high or low, who is proud of being a white American. It is indeed sickening to hear some of our brain-washed educated people whine, “It’s inevitable. There’s nothing we can do. We have lost.” Our Southland by every material line of reasoning should already be a land of mulattoes. Eighty years ago our unconquerable ancestors were beaten, in poverty and degradation, unable to vote and under the heel of negro occupation troops. All they had was their undying courage and faith that the Almighty helps those who help themselves. Are we less than they? We are the same blood; white blood that was kept pure for you for 6,000 years by white men. Our situation is not as hopeless as theirs, but just as insidious and deadly to our posterity if you and I do nothing. What decision are you going to make for those baby children at home? [ 4 ] In conclusion, here are some facts: At this time (November, 1954) there are one hundred and ten towns in Mississippi that now have Citizens’ Councils, including over 25,000 white male members and penetrating 33 counties. Our sister states, Alabama and Georgia, have formed councils and they are now spreading. A state Association of Citizens’ Councils of Mississippi has been formed, with headquarters at Winona, Mississippi. Our councils have helped pass a vital amendment to our State Constitution that the people of Mississippi failed to pass only two years ago. Racial tensions have been eased and local problems solved in counties that have active Citizens’ Councils. The highest type of leadership has been provided in each community where councils have been formed. We intend to prevent integration legally and thus prevent violence, friction and racial hatred. We intend to carry on the peaceful relations we have had with our colored citizens, to help them to help themselves and to try to help instill in them a sense of pride in their race as we have in ours. If you are interested in forming a Citizens’ Council in your community, contact our state headquarters at Winona or any Citizens’ Council from your adjoining county and we will be glad to assist you. Then, in turn, you may help your adjoining county organize. Either we will all stay white together or we will be integrated county by county and state by state. Are you doing your part? There is nothing more important at this time! Published by the ASSOCIATION OF CITIZENS’ COUNCILS WINONA, MISS. (HEADQUARTERS) [ 5 ]"
