SSID,Filename,Tags,Title,Title Confidence,Creator,Creator Confidence,Volume,Volume Confidence,Issue,Issue Confidence,Date,Date Confidence,Language,Language Confidence,Description,Description Confidence,Subject,Subject Confidence,Type,Type Confidence,Coverage,Coverage Confidence,Format,Format Confidence,Publisher,Publisher Confidence,Medium,Medium Confidence,Technique,Technique Confidence,Material,Material Confidence,Measurements,Measurements Confidence,Style,Style Confidence,Culture,Culture Confidence,Period,Period Confidence,Location,Location Confidence,Named Entities,Named Entities Confidence,Keywords,Keywords Confidence,Resource Type,Resource Type Confidence
42005792,S108082_LibertyHillAME_-1.jpg,AI Generated,Statements by Annie Gibson and Harry Briggs on the 'Separate but Equal' Petition,high,Annie Gibson | Harry Briggs,high,,,,,1984-11-13,high,English,high,"Statements by Annie Gibson and Harry Briggs recounting their experiences signing the 'Separate but Equal' petition in Summerton, South Carolina. Both describe the social and economic repercussions they faced, including job loss and community pressure, after supporting a petition demanding equal educational rights for Black children in Clarendon County. The statements provide personal perspectives on local activism and the challenges encountered during the struggle for civil rights.",medium,Civil rights | Racial justice in education | Civil rights movements | Right to education | Social justice and education | Unemployment | Witnesses,,Statement,low,"style: prose | culture: American | period: 20th century | location: Summerton, South Carolina",,medium: paper | technique: typed | material: paper | measurements: 2 pages,,,,paper,high,typed,high,paper,low,2 pages,high,prose,medium,American,high,20th century,high,"Summerton, South Carolina",high,Annie Gibson | Harry Briggs | Eliza Briggs | Scott's Branch High | Scott's Branch Elem. | Liberty Hill A.M.E. Church | Summerton | Clarendon County | South Carolina | Board of Trustees of the School Board of School District #22,medium,civil rights | Summerton | South Carolina | petition | educational equality | job loss | Clarendon County | Black community | testimony,medium,Images,
42003056,L14182_10_01_1947.jpg,AI Generated,Letter from Levi Pearson to Vander Stukes regarding school bus transportation for African American children,high,Levi Pearson,high,,,,,1947-10-01,high,English,high,"Letter from Levi Pearson to Mr. Vander Stukes, Chairman of the Board of Trustees for School District #26 in Clarendon County, South Carolina, inquiring about the lack of response to a petition sent on July 28, 1947, requesting school bus transportation for African American children in the district. The letter asks for an update on efforts to provide this transportation. A handwritten note at the bottom appears to be a reply from E.J. Stukes, indicating that the complaint will be addressed at a school outlook meeting.",high,Segregation in transportation | African American school children | School boards | Civil rights | Correspondence | School buses | Petitions,,Letter,high,"style: Formal correspondence | culture: American | period: Mid-20th century | location: Manning, South Carolina",,medium: Paper | technique: Typed and handwritten | material: Ink on paper | measurements: 1 page,,,,Paper,high,Typed and handwritten,medium,Ink on paper,medium,1 page,medium,Formal correspondence,low,American,high,Mid-20th century,medium,"Manning, South Carolina",high,Levi Pearson | Vander Stukes | E.J. Stukes | Clarendon County | Manning | School District #26,medium,School segregation | School transportation | African American education | Clarendon County | Petition | Civil rights | School board correspondence,high,Images,
42005791,S547018_Box1_Telegram_17May1954.jpg,AI Generated,"Western Union Day Letter to Honorable James R. Coker Quoting Governor Byrnes on Supreme Court Decision, May 17, 1954",high,Cassie Connor,medium,,,,,1954-05-17,high,English,high,"A Western Union day letter sent from Columbia, South Carolina, on May 17, 1954, addressed to Honorable James R. Coker in Hartsville, South Carolina. The letter, signed by Miss Cassie Connor, Secretary, quotes a statement by Governor Byrnes regarding the United States Supreme Court's decision reversing the doctrine of 'separate but equal' school facilities. The letter discusses the implications of the decision for South Carolina schools, urges restraint and order among the public, and notes that further recommendations to the legislature will be made after a full review of the Supreme Court's decree. It also references upcoming discussions with Senator Gressette and a committee studying the issue.",medium,"Brown v. Board of Education of Topeka | School integration | Civil rights | Segregation in education | Educational law and legislation | Nineteen fifties | South Carolina State House (Columbia, S.C.)",,Telegram,high,"style: Correspondence | culture: American | period: Mid 20th century | location: Columbia, South Carolina",,medium: Paper | technique: Typed | material: Telegraph form and ink | measurements: 1 page,,Western Union,high,Paper,medium,Typed,high,Telegraph form and ink,medium,1 page,low,Correspondence,medium,American,high,Mid 20th century,high,"Columbia, South Carolina",high,James R. Coker | Governor Byrnes | Cassie Connor | Senator Gressette | Supreme Court | South Carolina Legislature | Western Union | Clarendon,medium,Supreme Court decision | School desegregation | Brown v. Board of Education | South Carolina | Governor Byrnes | Education policy | Civil rights | 1950s,high,Images,
42004602,L14182Bx03#21-CitizensCouncilLetter_-1.jpg,AI Generated,"Correspondence and materials concerning voter registration and resistance to integration in South Carolina, February 1958",low,"Rogers, S. E. | Congress of Racial Equality",high,,,,,1958-02,high,English,high,"A set of four documents from February 1958 relating to voter registration and political resistance to integration in South Carolina. Includes a typed letter from S. E. Rogers to L. B. McCord of the Citizens' Council, discussing the enclosed resolution and a copy of the CORE-LATOR newsletter. The resolution expresses opposition to federal government intervention and civil rights organizations, urging South Carolina Democrats to defend state sovereignty. The CORE-LATOR newsletter documents the activities of the Congress of Racial Equality (CORE), including registration campaigns for African Americans in South Carolina, planning and instruction sessions, and the challenges faced in registering Black voters in the region.",medium,"Voter registration | Civil rights | Political rights | South Carolina State House (Columbia, S.C.) | White Citizens councils | Political participation",,Correspondence,high,"style: documentary | culture: American | period: mid-20th century | location: South Carolina, United States",,"medium: typed letter, printed newsletter | technique: typewriting and offset printing | material: ink on paper | measurements: Unknown",,Congress of Racial Equality,high,"typed letter, printed newsletter",low,typewriting and offset printing,medium,ink on paper,high,Unknown,high,documentary,low,American,high,mid-20th century,medium,"South Carolina, United States",high,S. E. Rogers | L. B. McCord | Citizens' Council | Congress of Racial Equality | Sumter CORE Registration Committee | James T. McCain | Rev. H. P. Sharper | Rev. Donald Rice | J. H. Nelson | Rev. Edward Frey | Paul Butler | NAACP | ADA | Democratic Party | South Carolina Democrats | Williamsburg County | Sumter | Clarendon | Richland | Columbia,medium,voter registration | CORE-LATOR | Congress of Racial Equality | South Carolina | Citizens' Council | African American suffrage | political resistance | segregation | Democratic Party | civil rights | integration | Sumter | Clarendon | Williamsburg,high,Images,
42003092,L14182_CitizensCouncil_02.jpg,AI Generated,What Is The Citizens' Council?,high,,,,,,,,,English,high,"Pamphlet outlining the purpose and organizational structure of the Citizens' Council, describing it as a modern version of a town meeting aimed at mobilizing public opinion and influencing policy. The text details the council's four basic committees: Information and Education, Political and Elections, Membership and Finance, and others, emphasizing their roles in addressing racial issues, influencing elections, recruiting members, and promoting segregationist viewpoints.",medium,White Citizens councils | Segregation | Citizen participation | Elections | Organization | Public opinion | Race relations,,Pamphlet,high,style: Prose | culture: American | period: Mid-20th Century | location: United States,,medium: Printed text | technique: Printed | material: Paper | measurements: 1 page,,,,Printed text,medium,Printed,medium,Paper,low,1 page,medium,Prose,high,American,high,Mid-20th Century,medium,United States,medium,Citizens' Council,low,Citizens' Council | segregation | public opinion | racial issues | elections | organizational structure,high,Images,
42003091,L14182_12_07_1957.jpg,AI Generated; Reviewed,Letter from L. B. McCord to W. O. McIlveen regarding address to Citizens Council,high,L. B. McCord,high,,,,,1957-12-07,high,English,high,"A letter from L. B. McCord, Superintendent of Education for Clarendon County, to Mr. W. O. McIlveen of Olanta, South Carolina. McCord responds to a request to address the Citizens Council in Olanta and expresses willingness to do so on either December 16 or 17, depending on the council's preference. McCord requests confirmation of the date, hour, and place for the address.",high,Correspondence | White Citizens councils | Education | Citizen participation | City councils,,Letter,high,"style: Correspondence | culture: American | period: Mid-20th century | location: Clarendon County, South Carolina",,medium: Paper | technique: Typed | material: Ink on paper | measurements: N/A,,,,Paper,high,Typed,high,Ink on paper,low,N/A,high,Correspondence,high,American,high,Mid-20th century,high,"Clarendon County, South Carolina",high,"L. B. McCord | W. O. McIlveen | Citizens Council | Clarendon County | Olanta, South Carolina",medium,Citizens Council | Clarendon County | Education | Correspondence | Public Address,high,Images,
42003057,L14182_ExecComm1958.jpg,AI Generated; Reviewed,The Citizens Council Putting on Membership Drive,high,L. B. McCord,high,,,,,1957-11-29,high,English,high,"Announcement from the Executive Committee of the Clarendon Citizens Council regarding the initiation of a membership campaign beginning November 29, 1957, and continuing through December 10, 1957. The document outlines plans to hold a council meeting to discuss the results and matters of interest, lists appointed committee members and their areas, and provides instructions for community members to join. The membership fee is stated as $2.00 for the year beginning October 1, 1957, and ending September 30, 1958. The letter encourages participation to reach a goal of 800 to 1000 members.",medium,Membership campaigns | Community organization | Committees | White Citizens councils | Citizen participation | Community leadership,,Announcement,medium,"style: Prose | culture: American | period: Mid-20th Century | location: Clarendon County, South Carolina, United States",,medium: Paper | technique: Typed | material: Typewritten letter | measurements: N/A,,Clarendon Citizens Council,high,Paper,high,Typed,high,Typewritten letter,low,N/A,high,Prose,high,American,high,Mid-20th Century,high,"Clarendon County, South Carolina, United States",high,L. B. McCord | Clarendon Citizens Council | Ernest K. Mathis | George R. Jones | Ben J. Staton | J. C. Phillips | P. C. Johnson | Charlton McLeod,high,Membership Drive | Citizens Council | Clarendon | Community Organization | 1957 | Committee Members,high,Images,
42003089,L14182_CitizensCouncil_05.jpg,AI Generated; Reviewed,null,high,,,,,,,null,high,,,"The document image is almost entirely blank, with only faint, reversed impressions of text visible through the page. The content is not legible and no clear subject, author, or context can be determined from the supplied image.",low,,,null,high,style: null | culture: null | period: null | location: null,,medium: null | technique: null | material: null | measurements: null,,,,null,low,null,high,null,high,null,low,null,high,null,high,null,high,null,high,,,,,Images,
42003052,L14182_10_09_1957a.jpg,AI Generated; Reviewed,Letter from L. B. McCord to Converse College Student Regarding Segregation and Spirituality,low,L. B. McCord,high,,,,,undated,high,English,high,"Letter from L. B. McCord addressing a student at Converse College. The letter discusses the concept of segregation, drawing analogies from nature and religious doctrine to argue for segregation as morally and spiritually justified. The author references biblical creation, the fall of man, and contrasts human intellect and spirituality with animal instinct. The letter concludes with best wishes for the student's academic year.",low,"Segregation | Religion | Spirituality | Education, Higher | Segregation in education | Religion and culture | Religiousness",,Letter,high,style: Prose | culture: American | period: Mid 20th century | location: United States,,medium: Paper | technique: Typed | material: Typewritten letter | measurements: N/A,,,,Paper,high,Typed,high,Typewritten letter,low,N/A,high,Prose,medium,American,high,Mid 20th century,medium,United States,high,L. B. McCord | Converse College,high,Segregation | Religion | Spirituality | Education | Converse College,high,Images,
42003058,L14182_CitizensCouncil_04.jpg,AI Generated,How Will The Citizens' Councils Roll Back the Dark Cloud of Integration?,high,Association of Citizens' Councils,high,,,,,1954-11,high,English,high,"Pamphlet issued by the Association of Citizens' Councils outlining strategies to mobilize white Americans against racial integration in Mississippi and the broader South. The text appeals to white racial solidarity, references historical grievances, and promotes the formation of Citizens' Councils to organize resistance to integration. It provides statistics on council membership and influence, describes efforts to amend the Mississippi State Constitution, and encourages the prevention of integration through legal and social means.",low,White supremacy movements | White Citizens councils | Segregation | Southern States | Race relations | Identity politics,,Pamphlet,high,"style: Prose | culture: American | period: 1950s | location: Winona, Mississippi, United States",,medium: Printed text | technique: Printed | material: Paper | measurements: N/A,,Association of Citizens' Councils,high,Printed text,medium,Printed,medium,Paper,low,N/A,medium,Prose,high,American,high,1950s,medium,"Winona, Mississippi, United States",high,Association of Citizens' Councils | Mississippi | Alabama | Georgia | Winona,medium,Citizens' Councils | segregation | integration | Mississippi | white supremacy | racial politics | Southern United States,high,Images,
42003055,L14182_10_09_1957.jpg,AI Generated,Letter to Miss Frances Reedy regarding teacher pay and racial segregation in Clarendon County schools,medium,,,,,,,1957-10-09,high,English,high,"A letter dated October 9, 1957, addressed to Miss Frances Reedy of Converse College, Spartanburg, South Carolina, discussing policies on teacher pay and the maintenance of racial segregation in Clarendon County schools. The letter details the pay structure for teachers based on certification and experience, notes the enrollment numbers for white and African American students, and expresses a defense of racial segregation as morally and spiritually justified. The author references local practices and broader attitudes toward race and education in the district.",low,"Segregation in education | Discrimination against African Americans, [Mexican Americans, etc.] | Wages | Nineteen fifties | County school systems | Clarendon family",,Letter,high,"style: Correspondence | culture: American | period: Mid-20th century | location: Clarendon County, South Carolina",,medium: Paper | technique: Typed | material: Typewritten letter | measurements: N/A,,,,Paper,high,Typed,high,Typewritten letter,medium,N/A,high,Correspondence,low,American,high,Mid-20th century,high,"Clarendon County, South Carolina",high,Miss Frances Reedy | Converse College | Clarendon County | Manning,high,Teacher pay | Racial segregation | Clarendon County | Education policy | South Carolina | 1950s | School district | Racial discrimination,high,Images,
42003095,L14182_CitizensCouncil_04.jpg,AI Generated,How Will The Citizens' Councils Roll Back the Dark Cloud of Integration?,high,Association of Citizens' Councils,high,,,,,1954-11,high,English,high,"Pamphlet issued by the Association of Citizens' Councils outlining strategies to organize white Americans in opposition to racial integration. The text advocates for the mobilization of white public opinion, the formation of Citizens' Councils across Southern states, and legal measures to prevent integration. It provides membership statistics, describes legislative efforts in Mississippi, Alabama, and Georgia, and encourages the formation of new councils to maintain segregation and promote white supremacist ideology.",low,White Citizens councils | White supremacy movements | Segregation | Southern States | Race relations | Councils and synods,,Pamphlet,high,"style: Prose | culture: American | period: 1950s | location: Winona, Mississippi, United States",,medium: Printed text | technique: Printed | material: Pamphlet | measurements: N/A,,Association of Citizens' Councils,high,Printed text,medium,Printed,medium,Pamphlet,medium,N/A,low,Prose,high,American,high,1950s,medium,"Winona, Mississippi, United States",high,Association of Citizens' Councils | Winona | Mississippi | Alabama | Georgia | NAACP | Edmund Burke,high,Citizens' Councils | segregation | integration | white supremacy | Mississippi | Southern United States | race relations | anti-integration,high,Images,
42003090,L14182_CitizensCouncil_01.jpg,AI Generated; Reviewed,The Citizens' Council,high,,,,,,,undated,high,English,high,"Pamphlet outlining the purpose and dedication of The Citizens' Council, emphasizing the maintenance of peace, good order, and domestic tranquility in communities and the state, as well as the preservation of state's rights.",high,White Citizens councils | States' rights (American politics) | Peace | Citizens' associations | State governments | Citizen participation,,Pamphlet,high,style: Prose | culture: American | period: Mid 20th Century | location: United States,,medium: Paper | technique: Printed | material: Paper | measurements: N/A,,Lawrence-Greenwood,high,Paper,low,Printed,high,Paper,high,N/A,high,Prose,high,American,high,Mid 20th Century,low,United States,high,The Citizens' Council | Lawrence-Greenwood,high,Citizens' Council | state rights | community order | peace | domestic tranquility,high,Images,
