"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"The R. L. Bryan Company cash receipt, July 7, 1945","","McCray, John Henry, 1910-1987","1945-07-07 00:00:00","","Manuscripts; Accession 11294.","The R. L. Bryan Company","","","A cash receipt from the R. L. Bryan Company on July 7, 1945.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-09","Text","image/jpeg","Documents (object genre)","mccrayjh02-24-111","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1986",1986.0,"1987.jp2","/p17173coll38/image/1987.jp2","1945","The R. L. BRYAN COMPANY",19,False,False,False,True,False,"['Low Char Count']","[]"
"Document about the Democratic and Republican leadership, Page 2","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Presidential Election","","","A document about the Democratic and Republican Party leadership.","1 item ; Page 2 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh03-01-082","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2071",2071.0,"2072.jp2","/p17173coll38/image/2072.jp2","","I",1,False,False,False,True,False,"['Low Char Count']","[]"
"Letter to John Henry McCray from Paulina Kackezon, May 19, 1944, Page 1","","McCray, John Henry, 1910-1987","1944-05-19 00:00:00","","Manuscripts; Accession 11294.","","","","A letter to John H. McCray from Paulina Kackezon sent on May 19, 1944.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Augusta, Richmond County, Georgia, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-21-016","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2088",2088.0,"2089.jp2","/p17173coll38/image/2089.jp2","1944","Γûá",3,True,False,False,True,False,"['Special Char Artifacts', 'Low Char Count']","['Γûá']"
"The R. L. Bryan Company cash sale receipt, The Lighthouse and Informer, May 28, 1946","","McCray, John Henry, 1910-1987","1946-05-28 00:00:00","","Manuscripts; Accession 11294.","The R. L. Bryan Company","","","A cash sale receipt from the R. L. Bryan Company to the Lighthouse and Informer from May 28, 1946.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-09","Text","image/jpeg","Documents (object genre)","mccrayjh02-25-127","","Joshua Schutzenhofer","","2022-02-25","2022-02-25","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2278",2278.0,"2279.jp2","/p17173coll38/image/2279.jp2","1946","The R. L. BRYAN COMPANY",19,False,False,False,True,False,"['Low Char Count']","[]"
"Change Sheet","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Afro-American Newspaper Company","","","A change sheet from the Afro-American Newspaper Company.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-15 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-27-026","","Joshua Schutzenhofer","","2021-10-07","2021-10-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2368",2368.0,"2369.jp2","/p17173coll38/image/2369.jp2","","CHANGE SHEET    STATE    LAST    WEEK    THIS    WEEK",32,False,False,False,False,True,"[]","[]"
"Change Sheet, September 6, 1958","","McCray, John Henry, 1910-1987","1958-09-06 00:00:00","","Manuscripts; Accession 11294.","The Afro-American Newspaper Company","","","A change sheet with 5 names for the week of September 6, 1958.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-20 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-29-006","","Joshua Schutzenhofer","","2021-10-21","2021-10-21","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2554",2554.0,"2555.jp2","/p17173coll38/image/2555.jp2","1958","CHANGE SHEET",11,False,False,False,True,False,"['Low Char Count']","[]"
"Change Sheet, September 13, 1958","","McCray, John Henry, 1910-1987","1958-09-13 00:00:00","","Manuscripts; Accession 11294.","The Afro-American Newspaper Company","","","A change sheet for the week ending September 13, 1958.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-20 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-29-023","","Joshua Schutzenhofer","","2021-10-21","2021-10-21","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2571",2571.0,"2572.jp2","/p17173coll38/image/2572.jp2","1958","CHANGE SHEET",11,False,False,False,True,False,"['Low Char Count']","[]"
"Change Sheet 2/7/1959","","McCray, John Henry, 1910-1987","1959-02-07 00:00:00","","Manuscripts; Accession 11294.","The Afro-American Newspaper Company","","","A change sheet for the week ending February 7, 1959.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-20 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-30-041","","Joshua Schutzenhofer","","2021-10-28","2021-10-28","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2703",2703.0,"2704.jp2","/p17173coll38/image/2704.jp2","1959","CHANGE SHEET    STATE    LAST    WEEK    THIS    WEEK",32,False,False,False,False,True,"[]","[]"
"Change Sheet, April 9, 1960","","McCray, John Henry, 1910-1987","1960-04-09 00:00:00","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","A change sheet of the Pittsburgh Courier for the week ending April 9, 1960.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-30 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-32-093","","Joshua Schutzenhofer","","2021-11-03","2021-11-03","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2864",2864.0,"2865.jp2","/p17173coll38/image/2865.jp2","1960","CHANGE SHEET",11,False,False,False,True,False,"['Low Char Count']","[]"
"John Henry McCray Notes, Page 50","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","A notebook filled with notes by John H. McCray.","1 item ; Page 50 of 71","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-30 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-32-175","","Joshua Schutzenhofer","","2021-11-03","2021-11-03","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2946",2946.0,"2947.jp2","/p17173coll38/image/2947.jp2","","1",1,False,False,False,True,False,"['Low Char Count']","[]"
"Circulation Department Returns and Allowances, January 1, 1960","","McCray, John Henry, 1910-1987","1960-01-09 00:00:00","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","The returns and allowances of the circulation department for the week ending January 9, 1960.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Baltimore, Maryland, United States;South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-30 00:00:00","Text","image/jpeg","Documents (object genre)","mccrayjh01-33-002","","Joshua Schutzenhofer","","2021-11-03","2021-11-03","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2970",2970.0,"2971.jp2","/p17173coll38/image/2971.jp2","1960","THE AFRO-AMERICAN CO.    EXPLANATION OF OTHER ALLOWANCES    APPROVED BY    CHECKED BY    ENTERED BY",75,False,False,False,False,True,"[]","[]"
