"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"Letter to Mr. John Henry McCray sent on February 17, 1964, Page 1","","McCray, John Henry, 1910-1987","1964-02-17 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse","","","A letter to Mr. John H. McCray sent on February 17, 1964 about sending a favorable reply.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-08-021","","Joshua Schutzenhofer","","2020-03-09","2020-03-09","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/123",123.0,"124.jp2","/p17173coll38/image/124.jp2","1964","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter from Mrs. A. T. Mims to Mr. McCray, September 8, 1961.","","McCray, John Henry, 1910-1987","1961-09-08 00:00:00","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A letter from Mrs. A. T. Mims to Mr. McCray sent on September 8, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-044","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/177",177.0,"178.jp2","/p17173coll38/image/178.jp2","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter from William G. Hunn, Sr. to his branch heads, October 10, 1961","","McCray, John Henry, 1910-1987","1961-10-10 00:00:00","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A letter from William G. Hunn, Sr. to his branch heads sent on October 10, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-045","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/178",178.0,"179.jp2","/p17173coll38/image/179.jp2","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 1","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 1 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-073","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/206",206.0,"207.jp2","/p17173coll38/image/207.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 2","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 2 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-074","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/207",207.0,"208.jp2","/p17173coll38/image/208.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 3","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 3 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-075","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/208",208.0,"209.jp2","/p17173coll38/image/209.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 4","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 4 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-076","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/209",209.0,"210.jp2","/p17173coll38/image/210.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 5","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 5 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-077","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/210",210.0,"211.jp2","/p17173coll38/image/211.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 6","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 6 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-078","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/211",211.0,"212.jp2","/p17173coll38/image/212.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 7","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 7 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-079","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/212",212.0,"213.jp2","/p17173coll38/image/213.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 8","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 8 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-080","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/213",213.0,"214.jp2","/p17173coll38/image/214.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 9","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 9 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-081","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/214",214.0,"215.jp2","/p17173coll38/image/215.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 10","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 10 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-082","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/215",215.0,"216.jp2","/p17173coll38/image/216.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 11","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 11 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-083","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/216",216.0,"217.jp2","/p17173coll38/image/217.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 12","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 12 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-084","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/217",217.0,"218.jp2","/p17173coll38/image/218.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 13","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 13 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-085","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/218",218.0,"219.jp2","/p17173coll38/image/219.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 14","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 14 of 16","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-086","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/219",219.0,"220.jp2","/p17173coll38/image/220.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Document with math and other information, Page 15","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A document containing math and other information related to the Pittsburgh Courier.","1 item ; Page 15 of 15","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-087","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/220",220.0,"221.jp2","/p17173coll38/image/221.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter from Conyers to the Pittsburgh Couriers, December 26, 1961","","McCray, John Henry, 1910-1987","1961-12-26 00:00:00","","Manuscripts; Accession 11294.","Pittsburg Courier","","","A letter from Conyers to the Pittsburgh Couriers sent on December 26, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-095","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/228",228.0,"229.jp2","/p17173coll38/image/229.jp2","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
