"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"John Henry McCray Papers, Box 2, Folder 09, Journalism, 1981 - 1986","","McCray, John Henry, 1910-1987","1981 - 1986","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","The Modern State (1970-present)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1009",1009.0,"1010.cpd","/p17173coll38/image/1010.cpd","1981","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 12","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-10-22","2021-11-12","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1078",1078.0,"1079.cpd","/p17173coll38/image/1079.cpd","1946","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 14, 1959-1965","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1146",1146.0,"1147.cpd","/p17173coll38/image/1147.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 13","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Pittsburgh, Alleghany County, Pennsylvania, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1231",1231.0,"1232.cpd","/p17173coll38/image/1232.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 15, Journalism, Writings, 1982.","","McCray, John Henry, 1910-1987","1982","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","The Modern State (1970-present)","Talladega, Talladega County, Alabama, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1361",1361.0,"1362.cpd","/p17173coll38/image/1362.cpd","1982","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 17, Journalism, Writings, 1984-1985.","","McCray, John Henry, 1910-1987","1984-1985","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","The Modern State (1970-present)","Talladega, Talladega County, Alabama, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-06-19","2020-06-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1441",1441.0,"1442.cpd","/p17173coll38/image/1442.cpd","1984","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 16, Journalism, Writings, 1983.","","McCray, John Henry, 1910-1987","1983","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","The Modern State (1970-present)","Talladega, Talladega County, Alabama, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1592",1592.0,"1593.cpd","/p17173coll38/image/1593.cpd","1983","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 18, Journalism, Writings, 1986-1987","","McCray, John Henry, 1910-1987","1986-1987","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","The Modern State (1970-present)","Talladega, Talladega County, Alabama, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1688",1688.0,"1689.cpd","/p17173coll38/image/1689.cpd","1986","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 20, Journalism, Writings, n. d.","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","The Laughed All The Way by John H. McCray.","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1769",1769.0,"1770.cpd","/p17173coll38/image/1770.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 26, 1947","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1810",1810.0,"1811.cpd","/p17173coll38/image/1811.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 19, Journalism, Writings, n. d., Incomplete","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1875",1875.0,"1876.cpd","/p17173coll38/image/1876.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 24","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-09","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1989",1989.0,"1990.cpd","/p17173coll38/image/1990.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 3, Folder 01","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-09-17","2021-11-12","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2072",2072.0,"2073.cpd","/p17173coll38/supp/2072/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 21, Politics, Feb. - June, 1944.","","McCray, John Henry, 1910-1987","Feb. - June 1944","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Little Rock, Pulaski County, Arkansas, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2151",2151.0,"2152.cpd","/p17173coll38/image/2152.cpd","1944","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 25, 1946-1948","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-09","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2022-02-25","2022-02-25","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2283",2283.0,"2284.cpd","/p17173coll38/image/2284.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 26","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-05-31 00:00:00","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-10-01","2021-10-01","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2342",2342.0,"2343.cpd","/p17173coll38/supp/2342/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 27","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-15 00:00:00","Text","image/jpeg","Correspondence;Documents (object genre)","","","Joshua Schutzenhofer","","2021-10-07","2022-01-21","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2485",2485.0,"2486.cpd","/p17173coll38/supp/2485/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 28","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-15 00:00:00","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-10-12","2021-10-12","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2548",2548.0,"2549.cpd","/p17173coll38/supp/2548/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 29","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-20 00:00:00","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-10-21","2021-10-21","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2662",2662.0,"2663.cpd","/p17173coll38/supp/2662/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 30","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-20 00:00:00","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-10-28","2021-10-28","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2771",2771.0,"2772.cpd","/p17173coll38/supp/2771/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 1, Folder 32","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-06-30 00:00:00","Text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2021-11-03","2021-11-03","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2968",2968.0,"2969.cpd","/p17173coll38/supp/2968/index.pdf","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
