SSID,Filename,Tags,Title,Title Confidence,Creator,Creator Confidence,Volume,Volume Confidence,Issue,Issue Confidence,Date,Date Confidence,Language,Language Confidence,Description,Description Confidence,Subject,Subject Confidence,Type,Type Confidence,Coverage,Coverage Confidence,Format,Format Confidence,Publisher,Publisher Confidence,Medium,Medium Confidence,Technique,Technique Confidence,Material,Material Confidence,Measurements,Measurements Confidence,Style,Style Confidence,Culture,Culture Confidence,Period,Period Confidence,Location,Location Confidence,Named Entities,Named Entities Confidence,Keywords,Keywords Confidence,Resource Type,Resource Type Confidence
42035495,isleevy-033.jpg,AI Generated,"BLACK ON NEWS, November 1973: Isaac Leevy--A Family Tradition",high,Unknown,high,,,,,1973-11,low,English,high,"Biographical article detailing the life and achievements of Isaac Samuel Leevy, a prominent South Carolinian who made significant contributions to business, education, and civil rights. The article outlines Leevy's efforts in founding and supporting various institutions, including schools, hospitals, and businesses serving the Black community. It highlights his involvement in politics, his advocacy for voter registration, and his leadership roles in religious and civic organizations. The article also discusses the continuation of his legacy through his descendants and their ongoing impact on the community.",low,"Pioneers, Black | Civil rights | Business enterprises | Education | Community leadership | Voter registration | Politics and government",,Newspaper Page,medium,"style: Journalistic reporting | culture: American | period: 1970s | location: South Carolina, United States",,medium: Print | technique: Offset printing | material: Newsprint | measurements: Approximately 38 x 28 cm,,BLACK ON NEWS,high,Print,high,Offset printing,high,Newsprint,high,Approximately 38 x 28 cm,low,Journalistic reporting,high,American,high,1970s,low,"South Carolina, United States",high,Isaac Samuel Leevy | Booker T. Washington School | Waverly Graded School | Victory Savings Bank | Palmetto State Fair Association | Negro Business League | National Republican Party | Methodist Church | Richland County | Orangeburg State College | Palmetto State Voters Association,low,Isaac Samuel Leevy | Black pioneer | South Carolina | business | education | civil rights | politics | voter registration | community leadership,medium,Images,
42035481,isleevy-023.jpg,AI Generated,"The Afro-American, December 21, 1968: Leading mortician dies in Columbia",high,Unknown,high,,,,,1968-12-21,high,English,high,"Obituary article reporting the death of Isaac Samuel Leevy, a funeral director and prominent educational worker in Columbia, South Carolina. The article summarizes Leevy's contributions to local business, civic organizations, and education, including his roles in founding the Booker T. Washington High School and co-organizing the State Industrial School. It notes his involvement in politics, including bids for state legislature and Congress, and his switch from the Republican to the Democratic Party. The article lists his family survivors and honorary degrees from several institutions.",medium,"Obituaries | Necrologies | African Americans | Community leadership | Education, Secondary | Education, Higher | Funeral service",,Newspaper,high,"style: journalism | culture: American | period: 1960s | location: Columbia, South Carolina, United States",,medium: newsprint | technique: offset printing | material: ink on paper,,The Afro-American,high,newsprint,low,offset printing,medium,ink on paper,high,,,journalism,low,American,high,1960s,high,"Columbia, South Carolina, United States",high,Isaac Samuel Leevy | Booker T. Washington High School | State Industrial School | Richland County Tuberculosis Hospital | Booker T. Washington High School | Leevy Department Stores of Columbia | Standard Funeral Home | Victory Savings Bank | Leevy Essay Station | Democratic Party | Republican Party | Antioch | Kershaw County | Mather Academy | Hampton Institute | S.C. State College | Morris College | Allen University | WOIC | Ruby Johnson | Isaac Leevy | Carroll Leevy | Mamie Breese | Laura Rivers | Lucretia Bracey | Ellen Haley,medium,obituary | Isaac Samuel Leevy | Columbia | funeral director | education | African American history | South Carolina | Booker T. Washington High School | Leevy family | community leader,medium,Images,
42035479,isleevy-017.jpg,AI Generated,Personal Biography of Isaac Samuel Leevy for Inclusion in South Carolina Lives,high,Isaac Samuel Leevy,high,,,,,ca. 1963,high,English,high,"Biographical profile of Isaac Samuel Leevy, a religious, business, civic, and educational leader in Columbia, South Carolina. The document details his birth in Antioch, Kershaw County, education at several institutions, honorary degrees, extensive business and civic activities, leadership in morticians associations, political candidacies, religious service, and family life. Leevy was recognized for his perseverance, community leadership, and advocacy for African American advancement in education, business, and public service.",low,"Biography | African American civic leaders | Civic leaders | Business | Politics and government | Religion | Education, Higher",,Biography,low,"style: prose | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: typed | material: typewritten document | measurements: 3 pages,,,,paper,high,typed,high,typewritten document,low,3 pages,high,prose,high,American,high,20th century,high,"Columbia, South Carolina",high,Isaac Samuel Leevy | Laura (Hunter) Leevy | Miss Mary E. Kirkland | Ruby Johnson | Isaac Kirkland Leevy | Dr. Carroll Moten Leevy | Marion Naomi Leevy | Benedict College | South Carolina State College | Morris College | Allen University | Claflin College | Richland County | Fairwold School | Wilkinson Orphan Home for Negro Girls | Elkinton Old Folks Home | Colored Soldiers Service Club | Judge Martin Keogh | Richard Nixon | Woodrow Wilson | Methodist Church,medium,biography | African American leaders | South Carolina history | civic leadership | education | business | politics | religion,high,Images,
42035515,isleevy-074.jpg,AI Generated,History Notes Notebook,low,Isaac Samuel Leevy,high,,,,,ca. 1905,high,English,high,"A handwritten notebook containing questions, outlines, and notes on American history, including topics such as the Revolutionary War, British plans in 1779, the formation of the union, and the Constitution. The content suggests use as a study or classroom aid, with entries organized by topic and question.",low,"History | Constitution | Note-taking | Notebooks | Study guides | Revolutionaries | American Revolution Bicentennial, 1976",,Notebook,high,style: prose | culture: American | period: early 20th century | location: United States,,medium: paper | technique: handwritten | material: lined notebook paper | measurements: 58 pages,,,,paper,high,handwritten,high,lined notebook paper,low,58 pages,high,prose,high,American,high,early 20th century,high,United States,high,Isaac Samuel Leevy | Arnold | Cornwallis,high,American Revolution | history education | study notes | Constitution | notebook,high,Images,
42035428,isleevy-001.jpg,AI Generated,"Letter from Isaac S. Leary to Mr. J.S. Leary, March 7, 1906",high,Isaac S. Leary,high,,,,,1906-03-07,high,English,high,"A handwritten letter from Isaac S. Leary, a student at Hampton Institute in Hampton, Virginia, to his father Mr. J.S. Leary in Camden, South Carolina. Isaac reflects on the privilege of being a Hampton student, the positive influence of his experiences over four years, and the importance of having role models. He discusses the value of seeing exemplary lives among peers and mentors, and expresses gratitude for the opportunities for personal growth at Hampton. Isaac concludes by expressing hope to carry these lessons forward and looks forward to hearing from his father.",medium,"Education, Higher | College students | Role models | Correspondence | Personality development | Student activities | Family partnership",,Letter,high,"style: Prose | culture: American | period: Early 20th century | location: Hampton, Virginia",,medium: Paper | technique: Handwritten | material: Ink on paper | measurements: 2 pages,,,,Paper,high,Handwritten,high,Ink on paper,high,2 pages,high,Prose,high,American,low,Early 20th century,high,"Hampton, Virginia",high,"Isaac S. Leary | Mr. J.S. Leary | Hampton Institute | Hampton, Virginia | Camden, South Carolina",high,Hampton Institute | student life | personal growth | role models | family correspondence | education,high,Images,
42035473,isleevy-011.jpg,AI Generated,Peaceful Valley Season's Greetings card with children and dog in snowy landscape,medium,V. D. Volk,low,,,,,1947-12-16,high,English,high,"A winter scene depicting a child in red winter clothing sitting on a sled with a freshly cut evergreen tree, being pulled by an older child through a snow-covered forest. A dog walks alongside them, and in the background, houses with smoking chimneys are nestled among hills and trees. The card includes the printed phrases 'Peaceful Valley' and 'Season's Greetings.'",medium,Greeting cards | Holidays | Christmas trees | Children | Sledding | Dogs | Winter in art,,greeting card,high,style: American illustration | culture: American | period: mid-20th century | location: United States,,medium: ink and watercolor on paper | technique: offset lithography | material: paper | measurements: approximately 14 x 10 cm,,,,ink and watercolor on paper,low,offset lithography,low,paper,high,approximately 14 x 10 cm,medium,American illustration,low,American,high,mid-20th century,high,United States,high,Peaceful Valley,high,winter scene | greeting card | children | sled | dog | Christmas tree | snow | holiday,medium,Images,
42035485,isleevy-025.jpg,AI Generated,"Outstanding South Carolina Negro, 23 January 1969",high,"Montgomery, John A.",high,,,,,1969-01-23,high,English,high,"Biographical newspaper article recounting the life and achievements of Isaac Samuel Leevy, a prominent African American leader in South Carolina. The article details Leevy's contributions to business, education, civic work, and politics, including his role in advancing opportunities for African Americans in his state. It highlights his political career as a Republican, his multiple campaigns for Congress, his educational background, and his influence on civil rights and local leadership. The article includes commentary on Leevy's relationships with political figures such as Strom Thurmond and his impact on the African American community. The page features a portrait photograph of Isaac Samuel Leevy and a smaller image of the article's author, John A. Montgomery.",medium,African American politicians | Civil rights | Political campaigns | Business | Education | Republicanism | African American leadership,,Newspaper Article,high,"style: Journalistic reporting | culture: American | period: 20th century | location: South Carolina, United States",,medium: Print | technique: Offset printing | material: Newsprint | measurements: Approximately 30 x 55 cm,,,,Print,high,Offset printing,low,Newsprint,high,Approximately 30 x 55 cm,medium,Journalistic reporting,high,American,high,20th century,low,"South Carolina, United States",high,Isaac Samuel Leevy | John A. Montgomery | William E. Gonzales | Strom Thurmond | Richard Nixon | John F. Kennedy | South Carolina GOP | Mather Academy | Hampton Institute | South Carolina State College | Morris College | Allen University | Bar Harbor | Bermuda | Palm Beach | Columbia,medium,Isaac Samuel Leevy | South Carolina | African American leaders | Civil rights | Politics | Republican Party | Congressional campaigns | Education | Business | Strom Thurmond,high,Images,
42035487,isleevy-027.jpg,AI Generated,Outstanding South Carolina Negro,high,"Montgomery, John A.",high,,,,,1957-01-03,low,English,high,"Biographical newspaper article recounting the life and achievements of Isaac Samuel Leevy, a prominent African American leader in South Carolina. The article discusses Leevy's involvement in business, education, civic works, and politics, his transition from the Democratic to the Republican Party, his multiple runs for Congress, and his advocacy for civil rights and racial cooperation. It highlights Leevy's early education, professional journey, and remarks on race relations and political leadership, including his views on Strom Thurmond. The article is accompanied by a portrait of Isaac Samuel Leevy.",low,African American politicians | Civil rights | Race relations | Political leadership | Republicanism | African American civic leaders | Political parties,,Newspaper,high,"style: journalism | culture: American | period: 1950s | location: South Carolina, United States",,medium: paper and ink | technique: letterpress printing | material: newsprint,,,,paper and ink,medium,letterpress printing,medium,newsprint,high,,,journalism,high,American,high,1950s,medium,"South Carolina, United States",high,"Isaac Samuel Leevy | John A. Montgomery | William E. Gonzales | Strom Thurmond | Bar Harbor, Maine | Kershaw County | Camden | Hampton Institute | Virginia | South Carolina State College | Morris College | Allen University | Bernuda | Palm Beach | Columbia | Republican Party | Democratic Party | GOP | The State",medium,Isaac Samuel Leevy | South Carolina | African American leaders | Republican Party | Democratic Party | Congress | civil rights | race relations | political leadership | Strom Thurmond,high,Images,
42035490,isleevy-032.jpg,AI Generated,"I. S. Leevy, Columbia Business Man, Gets Service Award For Ten Years Service",high,Unknown,high,,,,,,,English,high,"Newspaper clipping reporting that I. S. Leevy, a prominent business man and operator of a Standard Oil Service Station in Columbia, South Carolina, received a bronze award for ten years of outstanding service from the Standard Oil Company of New Jersey. The article provides a brief biography of Leevy, including his early education, career as a teacher, ventures in the tailor and department store businesses, and eventual establishment of a filling station at 1831 Taylor Street. It also notes his involvement in the funeral business and assistance from his family and employees.",medium,African American businesspeople | Businesspeople | Service stations | Funeral homes | Department stores | Awards | Award presentations,,Newspaper clipping,high,"style: journalistic | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: ink on paper | measurements: clipping approx. 25 cm x 7 cm,,,,paper,low,printed,high,ink on paper,high,clipping approx. 25 cm x 7 cm,low,journalistic,high,American,high,20th century,high,"Columbia, South Carolina",high,"I. S. Leevy | Standard Oil Company of New Jersey | Rev. Richard Carroll | Columbia, South Carolina | Kershaw County | Camden | Hampton | Maysville",medium,I. S. Leevy | Standard Oil Service Station | Columbia | service award | businessman | African American entrepreneurship | funeral home | department store | Great Depression,high,Images,
42035492,isleevy-031.jpg,AI Generated,Leevy's Directors of Funerals Promotional Fan Insert,medium,Leevy's Directors of Funerals,high,,,,,undated,low,English,high,"Promotional fan insert for Leevy's Directors of Funerals, a funeral home located at 1831 Taylor Street, Columbia, South Carolina. The document highlights the company's superior service, including spacious suites for services, reposing rooms, lounges, rest rooms, and casket display rooms with home-like appointments, all fully air-conditioned and accompanied by a fleet of professional cars. The insert emphasizes the firm's ideals of faithful service, improvement, and professionalism.",medium,Funeral homes | Funeral service | Sales promotion | Advertising copy | Promotions | Brochures | Place marketing literature,,Promotional material,high,"style: expository | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: paper | measurements: N/A,,Leevy's Directors of Funerals,high,paper,high,printed,high,paper,high,N/A,medium,expository,low,American,high,20th century,high,"Columbia, South Carolina",high,Leevy's Directors of Funerals | Columbia | South Carolina,high,funeral home | Columbia | South Carolina | promotional material | Leevy's Directors of Funerals,high,Images,
42035514,isleevy-041.jpg,AI Generated,"Notebook of Isaac Samuel Leevy, July 1911",high,Isaac Samuel Leevy,high,,,,,1911-07,high,English,high,"A handwritten notebook by Isaac Samuel Leevy containing notes on African American women's organizations, social work, and community activities, with references to meetings, leaders, and initiatives related to women's education, employment, and social uplift. The content includes observations on women's clubs, the YWCA, and the role of women in church and community service, reflecting early twentieth-century efforts toward racial and gender progress.",low,African American women | Young Women's Christian associations | Employment | Community organization | Education | Social change,,Notebook,high,style: prose | culture: African American | period: early 20th century | location: United States,,medium: paper | technique: handwritten | material: lined notebook paper | measurements: approx. 15 x 9 cm; 33 pages,,,,paper,high,handwritten,high,lined notebook paper,low,approx. 15 x 9 cm; 33 pages,low,prose,high,African American,high,early 20th century,high,United States,high,Isaac Samuel Leevy | Howard University | YWCA,high,African American women | women's clubs | community service | social uplift | education | employment | YWCA | Howard University,high,Images,
42035477,isleevy-010.jpg,AI Generated,Letter from The Bruner Woolen Co. to I. S. Leevy congratulating marriage,high,The Bruner Woolen Co.,high,,,,,1909-07-19,high,English,high,"A business letter from The Bruner Woolen Co., Importers of Fine Woolens in New York, addressed to Mr. I. S. Leevy of Columbia, South Carolina. The letter acknowledges receipt of a newspaper clipping regarding Mr. Leevy's marriage, extends congratulations and best wishes to Mr. and Mrs. Leevy, and expresses appreciation for sending the announcement.",high,Marriage | Commercial correspondence | Woolen goods | Business communication | New York Metropolitan Area | Columbia (Symbolic character),,Letter,high,"style: Correspondence | culture: American | period: Early 20th century | location: New York, New York",,medium: Paper | technique: Typed | material: Paper | measurements: N/A,,The Bruner Woolen Co.,high,Paper,high,Typed,high,Paper,medium,N/A,high,Correspondence,low,American,high,Early 20th century,high,"New York, New York",high,"I. S. Leevy | The Bruner Woolen Co. | Mrs. Leevy | New York | Columbia, South Carolina",medium,Marriage | Congratulations | Business correspondence | Woolens | Announcement | Columbia | New York,medium,Images,
42035478,isleevy-014.jpg,AI Generated,"Programs for the Non-Partisan Coordinating Voter Registration Centennial Association Meetings, August 1963",high,Non-Partisan Coordinating Voter Registration Centennial Association,high,,,,,1963-08,high,English,high,"Programs outlining the order of proceedings for meetings of the Non-Partisan Coordinating Voter Registration Centennial Association held in August 1963 in South Carolina. The documents detail the association's goal of registering 100,000 voters, provide agendas for meetings at New Bethany Baptist Church in Fort Motte and First Calvary Baptist Church in Columbia, and list participants, officers, and speakers. Topics include voter registration organization, community responsibility, citizenship training, and recognition of those present.",medium,Voter registration | Civil rights | Community organization | African Americans | Community leadership | Nineteen sixties | Civil rights movements,,Program,high,"style: prose | culture: American | period: 20th century | location: South Carolina, United States",,medium: paper | technique: typed | material: typewritten paper | measurements: 3 pages,,Non-Partisan Coordinating Voter Registration Centennial Association,high,paper,high,typed,high,typewritten paper,medium,3 pages,high,prose,low,American,high,20th century,high,"South Carolina, United States",medium,"Non-Partisan Coordinating Voter Registration Centennial Association | I. S. Leevy | Reverend L. E. Crumlin | Reverend E. W. Hagins | Howard E. Wright | J. A. Bacoats | Matthew Perry | H. P. Pride | W. E. Solomon | Maxie Gordon | Mike Rosen | C. H. Thomas, Jr. | I. D. Newman | New Bethany Baptist Church | First Calvary Baptist Church | Columbia, South Carolina | Fort Motte, South Carolina",high,voter registration | civil rights | South Carolina | community organization | African American history | 1960s,high,Images,
